#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	10841	11245	-	HFCAGB_00011	14.4	9.1		
contig_1	14682	14822	-	HFCAGB_00015	5.3	10.7		
contig_1	16495	17028	-	HFCAGB_00018	19.9	5.5	PF05838.17|Glyco_hydro_108, PF09374.15|PG_binding_3	PFAM:PF05838.17, PFAM:PF09374.15
contig_1	29996	30514	+	HFCAGB_00028	17.7	4.3	PF00419.26|Fimbrial	PFAM:PF00419.26
contig_1	50449	50859	-	HFCAGB_00045	14.6	6.0		
contig_1	50905	51822	-	HFCAGB_00046	33.9	9.2		
contig_1	59187	60146	+	HFCAGB_00054	35.7	5.0		
contig_1	80364	80759	+	HFCAGB_00071	15.4	9.4		
contig_1	112114	112359	+	HFCAGB_00099	9.9	10.3		
contig_1	112360	112539	-	HFCAGB_00100	6.8	7.8		
contig_1	280885	281145	-	HFCAGB_00251	9.6	4.4		
contig_1	287211	287864	-	HFCAGB_00260	23.2	9.8		
contig_1	335909	336346	+	HFCAGB_00305	16.8	6.7		SO:0001217, UniRef:UniRef50_A0A0U1QYI0
contig_1	336750	336878	+	HFCAGB_00306	5.0	7.9		
contig_1	336930	337022	+	HFCAGB_00307	3.5	4.1		
contig_1	337145	337483	+	HFCAGB_00308	12.9	4.5	PF24832.1|DUF7716	PFAM:PF24832.1
contig_1	342519	342767	+	HFCAGB_00313	9.8	6.9		SO:0001217, UniRef:UniRef50_A0A379WFF6
contig_1	342922	343353	+	HFCAGB_00314	16.6	7.7		
contig_1	344803	345081	+	HFCAGB_00317	11.0	9.8	PF13683.12|rve_3	PFAM:PF13683.12
contig_1	346558	347070	+	HFCAGB_00318	18.7	5.4	PF00345.26|PapD_N	PFAM:PF00345.26
contig_1	351299	351910	-	HFCAGB_00322	22.2	9.7		
contig_1	372603	372872	+	HFCAGB_00342	9.9	10.5	PF13356.12|Arm-DNA-bind_3	PFAM:PF13356.12
contig_1	372885	373286	+	HFCAGB_00343	15.0	6.9		
contig_1	373890	374018	+	HFCAGB_00346	4.2	9.7		
contig_1	405033	405146	-	HFCAGB_00375	4.5	9.8		
contig_1	406724	408682	+	HFCAGB_00377	73.3	5.4	PF01555.25|N6_N4_Mtase, PF18273.6|T3RM_EcoP15I_C	PFAM:PF01555.25, PFAM:PF18273.6
contig_1	420454	421011	-	HFCAGB_00388	20.2	8.7	PF06506.16|PrpR_N	PFAM:PF06506.16
contig_1	439822	440115	+	HFCAGB_00404	10.5	11.3		
contig_1	441025	441345	+	HFCAGB_00406	11.6	9.5	PF07769.19|PsiF_repeat	PFAM:PF07769.19
contig_1	459508	459666	+	HFCAGB_00423	6.0	8.2		
contig_1	515744	516493	-	HFCAGB_00481	28.1	5.9		
contig_1	527272	527583	-	HFCAGB_00492	11.4	10.3	PF01035.26|DNA_binding_1	PFAM:PF01035.26
contig_1	572966	573070	+	HFCAGB_00536	3.8	6.7		SO:0001217, UniRef:UniRef50_V1H4Y4
contig_1	608164	608304	+	HFCAGB_00572	4.7	10.0		
contig_1	608320	608697	+	HFCAGB_00573	13.7	6.2	PF00419.26|Fimbrial	PFAM:PF00419.26
contig_1	620971	621147	-	HFCAGB_00588	6.8	9.6		
contig_1	624442	624582	-	HFCAGB_00598	5.2	9.8		
contig_1	624906	625205	-	HFCAGB_00600	10.9	5.0		SO:0001217, UniRef:UniRef50_A0A3F3IQR7
contig_1	631775	632647	+	HFCAGB_00611	33.4	5.8		
contig_1	633787	633990	+	HFCAGB_00614	7.9	9.4		
