#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	249	617	+	PKJKAM_00001	13.7	11.1		
contig_2	256	774	+	PKJKAM_00002	19.6	9.1		SO:0001217, UniRef:UniRef50_A0A376JUL7
contig_4	29	424	+	PKJKAM_00004	14.5	5.3	PF02545.19|Maf	PFAM:PF02545.19
contig_4	496	720	-	PKJKAM_00005	8.4	4.5		SO:0001217, UniRef:UniRef50_G5NAS5
contig_7	460	855	-	PKJKAM_00009	15.2	8.6		SO:0001217, UniRef:UniRef50_A0A5X0QX06
contig_11	526	879	+	PKJKAM_00015	13.1	9.2		
contig_16	159	629	+	PKJKAM_00021	17.2	4.6		
contig_16	876	1220	-	PKJKAM_00022	12.8	6.1	PF02900.23|LigB	PFAM:PF02900.23
contig_18	255	779	-	PKJKAM_00025	19.6	4.1	PF17944.6|Arg_decarbox_C	PFAM:PF17944.6
contig_18	1198	1452	+	PKJKAM_00026	9.6	6.9		
contig_20	62	814	-	PKJKAM_00030	28.3	10.0		
contig_20	1713	1934	+	PKJKAM_00033	8.2	8.9	PF12835.12|Integrase_1	PFAM:PF12835.12
contig_22	4034	4300	-	PKJKAM_00042	9.8	8.9		
contig_23	4963	5127	-	PKJKAM_00046	5.9	9.3		
contig_25	924	1199	+	PKJKAM_00054	10.6	11.6		
contig_25	3328	3435	-	PKJKAM_00057	4.2	9.3		
contig_26	205	411	+	PKJKAM_00061	7.8	6.0		
contig_27	58	477	+	PKJKAM_00071	15.6	4.5		
contig_27	6636	7022	-	PKJKAM_00081	14.0	6.5	PF16925.10|TetR_C_13	PFAM:PF16925.10
contig_28	7610	7990	-	PKJKAM_00107	14.0	7.6		
contig_29	16197	16532	-	PKJKAM_00136	12.3	9.8		
contig_29	16504	17397	-	PKJKAM_00137	34.3	5.4	PF17767.7|NAPRTase_N	PFAM:PF17767.7
contig_29	19218	19457	-	PKJKAM_00140	8.7	10.4		
contig_30	45	308	+	PKJKAM_00143	9.5	9.6		
contig_30	13925	14185	-	PKJKAM_00154	9.6	4.5		
contig_30	21566	22219	-	PKJKAM_00165	23.2	9.8		
contig_31	24	647	+	PKJKAM_00168	22.7	9.3	PF07338.18|YdgH_BhsA-like	PFAM:PF07338.18
contig_31	21131	23338	+	PKJKAM_00186	78.7	8.9	PF00037.32|Fer4, PF01512.22|Complex1_51K, PF10531.15|SLBB, PF12797.12|Fer4_2, PF12838.12|Fer4_7, PF13183.11|Fer4_8, PF13237.11|Fer4_10, PF13375.12|RnfC_N, PF13534.11|Fer4_17	PFAM:PF00037.32, PFAM:PF01512.22, PFAM:PF10531.15, PFAM:PF12797.12, PFAM:PF12838.12, PFAM:PF13183.11, PFAM:PF13237.11, PFAM:PF13375.12, PFAM:PF13534.11
contig_31	32680	33312	-	PKJKAM_00197	22.4	5.1		
