#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	10841	11245	-	GEGEGB_00011	14.4	9.1		
contig_1	16499	17032	-	GEGEGB_00017	20.0	5.4	PF05838.17|Glyco_hydro_108, PF09374.15|PG_binding_3	PFAM:PF05838.17, PFAM:PF09374.15
contig_1	20064	21155	+	GEGEGB_00020	38.6	4.3		
contig_1	21198	23060	+	GEGEGB_00021	67.3	4.7		
contig_1	25807	26727	+	GEGEGB_00025	33.1	4.9	PF13954.11|PapC_N	PFAM:PF13954.11
contig_1	26728	27759	+	GEGEGB_00026	38.2	5.4		
contig_1	27874	28428	+	GEGEGB_00027	19.5	6.2	PF13953.12|PapC_C	PFAM:PF13953.12
contig_1	29998	30516	+	GEGEGB_00030	17.7	4.3	PF00419.26|Fimbrial	PFAM:PF00419.26
contig_1	34511	34816	-	GEGEGB_00036	12.0	9.6		
contig_1	80352	80747	+	GEGEGB_00072	15.4	9.4		
contig_1	93931	94353	+	GEGEGB_00086	15.6	9.0		
contig_1	95765	95989	+	GEGEGB_00089	7.9	7.8		
contig_1	96041	97345	+	GEGEGB_00090	49.5	6.6		
contig_1	97342	97653	+	GEGEGB_00091	12.3	4.6		
contig_1	115266	115496	-	GEGEGB_00105	9.1	10.1		
contig_1	115765	115860	-	GEGEGB_00106	3.4	8.0		
contig_1	117300	117704	-	GEGEGB_00108	14.9	10.0	PF02698.23|DUF218	PFAM:PF02698.23
contig_1	244950	245198	+	GEGEGB_00225	9.5	9.2		
contig_1	245227	246252	+	GEGEGB_00226	37.3	9.9		
contig_1	271765	272289	+	GEGEGB_00251	18.9	5.4		
contig_1	272455	273528	+	GEGEGB_00252	38.5	4.3	PF00182.24|Glyco_hydro_19, PF00801.26|PKD, PF18911.6|PKD_4	PFAM:PF00182.24, PFAM:PF00801.26, PFAM:PF18911.6
contig_1	277629	277889	-	GEGEGB_00256	9.6	4.5		
contig_1	280494	280676	-	GEGEGB_00262	6.9	10.3		
contig_1	284666	285319	-	GEGEGB_00268	23.2	9.8		
contig_1	304095	304847	+	GEGEGB_00287	28.2	8.8	PF00126.33|HTH_1	PFAM:PF00126.33
contig_1	350419	350703	+	GEGEGB_00329	10.8	11.4		
contig_1	364426	364605	-	GEGEGB_00346	6.5	10.9		SO:0001217, UniRef:UniRef50_A0A4Z0LFH4
contig_1	366676	366900	+	GEGEGB_00350	8.7	10.7		
contig_1	375337	376617	+	GEGEGB_00354	46.8	9.7	PF00384.28|Molybdopterin, PF04879.21|Molybdop_Fe4S4	PFAM:PF00384.28, PFAM:PF04879.21
contig_1	389798	390049	+	GEGEGB_00369	8.8	4.8		
contig_1	400881	404039	+	GEGEGB_00374	111.2	4.7	PF05688.17|BIg21, PF05689.17|InvE_AD	PFAM:PF05688.17, PFAM:PF05689.17
