#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	10841	11245	-	AJBGEP_00011	14.5	9.1		
contig_1	16493	17026	-	AJBGEP_00017	19.9	5.5	PF05838.17|Glyco_hydro_108, PF09374.15|PG_binding_3	PFAM:PF05838.17, PFAM:PF09374.15
contig_1	29994	30512	+	AJBGEP_00027	17.7	4.3	PF00419.26|Fimbrial	PFAM:PF00419.26
contig_1	74964	75239	-	AJBGEP_00067	10.0	5.2		
contig_1	81260	81655	+	AJBGEP_00072	15.4	9.4		
contig_1	94843	95259	+	AJBGEP_00086	15.4	8.9		
contig_1	184559	185332	-	AJBGEP_00167	29.3	10.7		
contig_1	248932	249957	+	AJBGEP_00224	37.2	9.9		
contig_1	280751	281011	-	AJBGEP_00251	9.6	4.5		
contig_1	287077	287730	-	AJBGEP_00260	23.2	9.8		
contig_1	337324	337587	+	AJBGEP_00307	10.5	4.4		SO:0001217, UniRef:UniRef50_A0A0F1A9E0
contig_1	339288	339425	-	AJBGEP_00310	5.9	8.2		
contig_1	341030	341188	+	AJBGEP_00315	6.0	9.2		
contig_1	341863	342144	+	AJBGEP_00317	11.1	9.7	PF13683.12|rve_3	PFAM:PF13683.12
contig_1	348362	348973	-	AJBGEP_00323	22.3	9.8		
contig_1	360730	360891	+	AJBGEP_00334	5.8	5.0		
contig_1	370356	370658	+	AJBGEP_00344	11.4	9.1		
contig_1	370609	370953	+	AJBGEP_00345	11.4	4.4		
contig_1	404024	405982	+	AJBGEP_00376	73.3	5.4	PF01555.25|N6_N4_Mtase, PF18273.6|T3RM_EcoP15I_C	PFAM:PF01555.25, PFAM:PF18273.6
contig_1	438410	438730	+	AJBGEP_00403	11.6	9.5	PF07769.19|PsiF_repeat	PFAM:PF07769.19
contig_1	524651	524962	-	AJBGEP_00487	11.4	10.3	PF01035.26|DNA_binding_1	PFAM:PF01035.26
contig_1	570227	570331	+	AJBGEP_00531	3.8	6.7		SO:0001217, UniRef:UniRef50_V1H4Y4
contig_1	612927	613235	-	AJBGEP_00574	11.5	4.7		
contig_1	614893	615111	-	AJBGEP_00578	8.1	9.8		
contig_1	615283	615441	+	AJBGEP_00579	5.6	6.7		
contig_1	619284	619613	-	AJBGEP_00584	12.3	10.9	PF02518.31|HATPase_c, PF14501.12|HATPase_c_5	PFAM:PF02518.31, PFAM:PF14501.12
contig_1	638472	638840	-	AJBGEP_00601	14.2	8.6		
