# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	249	617	+	PKJKAM_00001		hypothetical protein	
contig_2	cds	256	774	+	PKJKAM_00002		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A376JUL7
contig_3	rRNA	1	906	+	PKJKAM_00003	rrl	23S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01980, RFAM:RF02541, SO:0001001
contig_4	cds	29	424	+	PKJKAM_00004		hypothetical protein	PFAM:PF02545.19
contig_4	cds	496	720	-	PKJKAM_00005		hypothetical protein	SO:0001217, UniRef:UniRef50_G5NAS5
contig_5	rRNA	1	1033	-	PKJKAM_00006	rrl	23S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01980, RFAM:RF02541, SO:0001001
contig_6	rRNA	1	1042	+	PKJKAM_00007	rrl	23S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01980, RFAM:RF02541, SO:0001001
contig_7	tRNA	321	397	-	PKJKAM_00008	trnR	tRNA-Arg(tct)	SO:0001036
contig_7	cds	460	855	-	PKJKAM_00009		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A5X0QX06
contig_8	rRNA	12	127	-	PKJKAM_00010	rrf	5S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01985, RFAM:RF00001, SO:0000652
contig_8	rRNA	221	1158	-	PKJKAM_00011	rrl	23S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01980, RFAM:RF02541, SO:0001001
contig_9	rRNA	1	1170	+	PKJKAM_00012	rrl	23S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01980, RFAM:RF02541, SO:0001001
contig_10	rRNA	1	928	+	PKJKAM_00013	rrl	23S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01980, RFAM:RF02541, SO:0001001
contig_10	rRNA	1125	1240	+	PKJKAM_00014	rrf	5S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01985, RFAM:RF00001, SO:0000652
contig_11	cds	526	879	+	PKJKAM_00015		hypothetical protein	
contig_11	cds	813	1214	-	PKJKAM_00016	tnp	IS3 family ISSen1 transposase ORF A	IS:ISSen1, SO:0001217, UniRef:UniRef50_N8YAU9
contig_12	cds	343	780	-	PKJKAM_00017	yjaB	Peptidyl-lysine N-acetyltransferase YjaB	SO:0001217, UniRef:UniRef50_P09163
contig_13	cds	916	1089	-	PKJKAM_00018		Large ribosomal subunit protein bL32	SO:0001217, UniRef:UniRef50_C7RBG1
contig_14	rRNA	1	1416	+	PKJKAM_00019	rrl	23S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01980, RFAM:RF02541, SO:0001001
contig_15	rRNA	1	1504	+	PKJKAM_00020	rrl	23S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01980, RFAM:RF02541, SO:0001001
contig_16	cds	159	629	+	PKJKAM_00021		hypothetical protein	
contig_16	cds	876	1220	-	PKJKAM_00022		hypothetical protein	PFAM:PF02900.23
contig_16	cds	1222	1485	-	PKJKAM_00023		Aldehyde dehydrogenase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3M5DUX6
contig_17	rRNA	129	1669	+	PKJKAM_00024	rrs	16S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01977, RFAM:RF00177, SO:0001000
contig_18	cds	255	779	-	PKJKAM_00025		hypothetical protein	PFAM:PF17944.6
contig_18	cds	1198	1452	+	PKJKAM_00026		hypothetical protein	
contig_19	cds	131	676	-	PKJKAM_00027	nusG	Transcription termination/antitermination protein NusG	SO:0001217, UniRef:UniRef50_A0A4Q3YN90
contig_19	cds	678	1061	-	PKJKAM_00028	secE	Protein translocase subunit SecE	SO:0001217, UniRef:UniRef50_P0AG96
contig_19	cds	1291	2022	-	PKJKAM_00029		Elongation factor Tu	SO:0001217, UniRef:UniRef50_A0AA44SHC5
contig_20	cds	62	814	-	PKJKAM_00030		hypothetical protein	
contig_20	ncRNA	813	942	+	PKJKAM_00031	EFASI	EFASI RNA	RFAM:RF02957, SO:0000655
contig_20	cds	1048	1686	+	PKJKAM_00032		Core-binding (CB) domain-containing protein	SO:0001217, UniRef:UniRef50_R8X1U1
contig_20	cds	1713	1934	+	PKJKAM_00033		hypothetical protein	PFAM:PF12835.12
contig_20	cds	2515	2943	-	PKJKAM_00034		Tyr recombinase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A8S0FRF7
contig_21	cds	149	583	-	PKJKAM_00035		Transcriptional regulator	SO:0001217, UniRef:UniRef50_G5QXR7
contig_21	cds	951	1271	+	PKJKAM_00036		DNA-binding protein	SO:0001217, UniRef:UniRef50_A0A2V4FYD3
contig_21	cds	1362	2339	+	PKJKAM_00037		Bacteriophage lambda Replication protein O N-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A0A5U9MFF6
contig_21	cds	2342	3091	+	PKJKAM_00038	ydaV	Uncharacterized protein YdaV	SO:0001217, UniRef:UniRef50_P77546
contig_22	tRNA	524	599	-	PKJKAM_00039	trnF	tRNA-Phe(gaa)	SO:0000267
contig_22	cds	705	1412	-	PKJKAM_00040		DUF554 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2S4RTH8
contig_22	cds	1837	3972	+	PKJKAM_00041		Constitutive ornithine decarboxylase	SO:0001217, UniRef:UniRef50_P21169
contig_22	cds	4034	4300	-	PKJKAM_00042		hypothetical protein	
contig_23	cds	662	1108	-	PKJKAM_00043	traD	Conjugal transfer protein TraD	SO:0001217, UniRef:UniRef50_A0A3W5NHS7
contig_23	cds	1280	3139	+	PKJKAM_00044		Replication protein	SO:0001217, UniRef:UniRef50_A0A376VWW4
contig_23	cds	3683	4702	+	PKJKAM_00045		Replication protein	SO:0001217, UniRef:UniRef50_R9R0L3
contig_23	cds	4963	5127	-	PKJKAM_00046		hypothetical protein	
contig_24	cds	65	613	+	PKJKAM_00047		Heme exporter ATP-binding protein (Cytochrome C-type biogenesis protein)	SO:0001217, UniRef:UniRef50_A0A377D0T6
contig_24	cds	613	1269	+	PKJKAM_00048		Heme exporter protein B	SO:0001217, UniRef:UniRef50_A0A836S8T1
contig_24	cds	1312	2058	+	PKJKAM_00049		Heme exporter protein C	SO:0001217, UniRef:UniRef50_A0A379UYJ0
contig_24	cds	2055	2267	+	PKJKAM_00050		Heme exporter protein D	SO:0001217, UniRef:UniRef50_P0ABM5
contig_24	cds	2264	2743	+	PKJKAM_00051	ccmE	Cytochrome c-type biogenesis protein CcmE	SO:0001217, UniRef:UniRef50_A0A2X3JV19
contig_24	cds	2740	4671	+	PKJKAM_00052	ccmF	Cytochrome c heme lyase subunit CcmF	SO:0001217, UniRef:UniRef50_G5Q502
contig_24	cds	4668	5225	+	PKJKAM_00053	dsbE	Thiol:disulfide interchange protein DsbE	SO:0001217, UniRef:UniRef50_A0A318G2B8
contig_25	cds	924	1199	+	PKJKAM_00054		hypothetical protein	
contig_25	cds	1192	2130	-	PKJKAM_00055		Phosphofructokinase	SO:0001217, UniRef:UniRef50_A0A077NC40
contig_25	cds	2130	3260	-	PKJKAM_00056		Multiphosphoryl transfer protein	SO:0001217, UniRef:UniRef50_P69811
contig_25	cds	3328	3435	-	PKJKAM_00057		hypothetical protein	
contig_25	cds	3629	4810	+	PKJKAM_00058		Sugar efflux transporter B	SO:0001217, UniRef:UniRef50_P33027
contig_25	cds	4875	5540	-	PKJKAM_00059		Tyrosine kinase G-rich domain-containing protein	SO:0001217, UniRef:UniRef50_A9MK41
contig_25	cds	6052	6306	-	PKJKAM_00060	ykgJ	YkgJ family cysteine cluster protein	SO:0001217, UniRef:UniRef50_A0A2K4X8F0
contig_26	cds	205	411	+	PKJKAM_00061		hypothetical protein	
contig_26	cds	573	2333	+	PKJKAM_00062		endopeptidase La	SO:0001217, UniRef:UniRef50_E0SHT3
contig_26	cds	2402	2920	+	PKJKAM_00063		3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase	SO:0001217, UniRef:UniRef50_Q0I3F9
contig_26	cds	3443	4006	-	PKJKAM_00064		ABC-type transport auxiliary lipoprotein component domain-containing protein	SO:0001217, UniRef:UniRef50_H5UX00
contig_26	cds	4003	5643	-	PKJKAM_00065		Paraquat-inducible protein B	SO:0001217, UniRef:UniRef50_A0A7S4LWD3
contig_26	cds	5648	6901	-	PKJKAM_00066	pqiA	Intermembrane transport protein PqiA	SO:0001217, UniRef:UniRef50_P0AFL9
contig_26	cds	6916	8823	-	PKJKAM_00067		ATP-binding protein Uup	SO:0001217, UniRef:UniRef50_P43672
contig_26	cds	8836	10944	-	PKJKAM_00068	rlmL	23S rRNA (Guanine-N-2-) -methyl transferase rlmL	SO:0001217, UniRef:UniRef50_A0A379WW56
contig_26	cds	11043	12152	+	PKJKAM_00069	ycbX	Uncharacterized protein YcbX	SO:0001217, UniRef:UniRef50_P75863
contig_26	cds	12149	12691	-	PKJKAM_00070	zapC	cell division protein ZapC	BlastRules:WP_001220671, SO:0001217, UniRef:UniRef50_P75862
contig_27	cds	58	477	+	PKJKAM_00071		hypothetical protein	
contig_27	cds	474	1499	-	PKJKAM_00072	purR	HTH-type transcriptional repressor PurR	SO:0001217, UniRef:UniRef50_P0ACP7
contig_27	ncRNA	1500	1887	+	PKJKAM_00073	STnc550	Enterobacterial sRNA STnc550	RFAM:RF02081, SO:0000655
contig_27	cds	1795	1884	+	PKJKAM_00074	ynhF	Stress response protein YnhF	SO:0001217, UniRef:UniRef50_R8WW16
contig_27	cds	1967	2548	-	PKJKAM_00075		Superoxide dismutase [Fe]	SO:0001217, UniRef:UniRef50_P0AGD3
contig_27	cds	2675	3496	-	PKJKAM_00076	yafL	putative endopeptidase YafL	SO:0001217, UniRef:UniRef50_A0A240BYM5
contig_27	cds	3831	4178	+	PKJKAM_00077	grxD	monothiol glutaredoxin 4	BlastRules:WP_000108172, SO:0001217, UniRef:UniRef50_Q9CMN5
contig_27	cds	4256	4903	-	PKJKAM_00078		Ribonuclease T	SO:0001217, UniRef:UniRef50_A0A316FMG5
contig_27	cds	5004	5411	-	PKJKAM_00079		Aldoketomutase	SO:0001217, UniRef:UniRef50_A0A540WGT6
contig_27	cds	5480	6577	-	PKJKAM_00080		N-ethylmaleimide reductase	SO:0001217, UniRef:UniRef50_A0A6I6EQN1
contig_27	cds	6636	7022	-	PKJKAM_00081		hypothetical protein	PFAM:PF16925.10
contig_27	cds	7330	7569	+	PKJKAM_00082		Fe-S oxidoreductase	SO:0001217, UniRef:UniRef50_A0A166Z1I3
contig_27	cds	7620	8516	+	PKJKAM_00083	ydhF	Oxidoreductase YdhF	SO:0001217, UniRef:UniRef50_A0A5P9CR46
contig_27	cds	8596	9117	+	PKJKAM_00084		Superoxide dismutase [Cu-Zn]	SO:0001217, UniRef:UniRef50_A0AA86JA85
contig_27	cds	9093	11132	-	PKJKAM_00085	ydhK	Uncharacterized transporter YdhK	SO:0001217, UniRef:UniRef50_P76186
contig_27	cds	11132	11992	-	PKJKAM_00086	hlyD	HlyD family secretion protein	SO:0001217, UniRef:UniRef50_A0A8E1RNN9
contig_27	cds	11995	12231	-	PKJKAM_00087	ydhI	Uncharacterized protein YdhI	SO:0001217, UniRef:UniRef50_P64471
contig_27	cds	12432	12866	+	PKJKAM_00088	slyA	Transcriptional regulator SlyA	SO:0001217, UniRef:UniRef50_A0A1Z1SV01
contig_27	cds	12914	13381	-	PKJKAM_00089	slyB	outer membrane lipoprotein SlyB	BlastRules:WP_000597179, SO:0001217, UniRef:UniRef50_A0A1B8HQ76
contig_28	cds	48	554	+	PKJKAM_00090		Small ribosomal subunit protein uS3	SO:0001217, UniRef:UniRef50_A0A377U3M7
contig_28	cds	567	977	+	PKJKAM_00091		Large ribosomal subunit protein uL16	SO:0001217, UniRef:UniRef50_Q83ER9
contig_28	cds	977	1168	+	PKJKAM_00092		Large ribosomal subunit protein uL29	SO:0001217, UniRef:UniRef50_Q8D204
contig_28	cds	1168	1422	+	PKJKAM_00093		Small ribosomal subunit protein uS17	SO:0001217, UniRef:UniRef50_Q83ER7
contig_28	cds	1586	1957	+	PKJKAM_00094		Large ribosomal subunit protein uL14	SO:0001217, UniRef:UniRef50_Q5SHP8
contig_28	cds	1968	2282	+	PKJKAM_00095		Large ribosomal subunit protein uL24	SO:0001217, UniRef:UniRef50_P60624
contig_28	cds	2297	2836	+	PKJKAM_00096		Large ribosomal subunit protein uL5	SO:0001217, UniRef:UniRef50_A0A9E1ZZ63
contig_28	cds	2851	3156	+	PKJKAM_00097		Small ribosomal subunit protein uS14	SO:0001217, UniRef:UniRef50_B4SKX6
contig_28	cds	3190	3582	+	PKJKAM_00098		Small ribosomal subunit protein uS8	SO:0001217, UniRef:UniRef50_A0A376KJZ0
contig_28	cds	3595	4128	+	PKJKAM_00099		50S ribosomal protein L6	SO:0001217, UniRef:UniRef50_A0A378AKB6
contig_28	cds	4138	4491	+	PKJKAM_00100		Large ribosomal subunit protein uL18	SO:0001217, UniRef:UniRef50_P44356
contig_28	cds	4506	5009	+	PKJKAM_00101		Small ribosomal subunit protein uS5	SO:0001217, UniRef:UniRef50_Q9HWF2
contig_28	cds	5013	5192	+	PKJKAM_00102		Large ribosomal subunit protein uL30	SO:0001217, UniRef:UniRef50_F7WZN2
contig_28	cds	5196	5630	+	PKJKAM_00103		Large ribosomal subunit protein uL15	SO:0001217, UniRef:UniRef50_Q9KP03
contig_28	cds	5638	6969	+	PKJKAM_00104	secY	Protein translocase subunit SecY	SO:0001217, UniRef:UniRef50_P57571
contig_28	cds	7001	7117	+	PKJKAM_00105		Large ribosomal subunit protein bL36	SO:0001217, UniRef:UniRef50_P20278
contig_28	ncRNA-region	7185	7296	+			Alpha operon ribosome binding site	RFAM:RF00140, SO:0000139
contig_28	cds	7264	7620	+	PKJKAM_00106		Small ribosomal subunit protein uS13	SO:0001217, UniRef:UniRef50_Q8DML1
contig_28	cds	7610	7990	-	PKJKAM_00107		hypothetical protein	
contig_28	cds	8060	8680	+	PKJKAM_00108		Small ribosomal subunit protein uS4	SO:0001217, UniRef:UniRef50_B8KWI6
contig_28	cds	8706	9695	+	PKJKAM_00109		DNA-directed RNA polymerase subunit alpha	SO:0001217, UniRef:UniRef50_Q9KP08
contig_28	cds	9736	10119	+	PKJKAM_00110		Large ribosomal subunit protein bL17	SO:0001217, UniRef:UniRef50_P44355
contig_28	cds	10227	10595	+	PKJKAM_00111		DnaJ-like ue subfamily C member 28 conserved domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3D0EHT8
contig_28	cds	10606	11031	+	PKJKAM_00112	zntR	HTH-type transcriptional regulator ZntR	SO:0001217, UniRef:UniRef50_P0ACS5
contig_28	cds	11089	11358	+	PKJKAM_00113		Alternative ribosome-rescue factor A	SO:0001217, UniRef:UniRef50_A8AQI6
contig_28	cds	11294	11707	-	PKJKAM_00114		Large-conductance mechanosensitive channel	SO:0001217, UniRef:UniRef50_P0A742
contig_28	cds	11848	13224	-	PKJKAM_00115	trkA	Trk system potassium uptake protein TrkA	SO:0001217, UniRef:UniRef50_Q8EKR1
contig_28	cds	13246	14535	-	PKJKAM_00116		Ribosomal RNA small subunit methyltransferase B	SO:0001217, UniRef:UniRef50_P36929
contig_28	cds	14587	15534	-	PKJKAM_00117		Methionyl-tRNA formyltransferase	SO:0001217, UniRef:UniRef50_P23882
contig_28	cds	15550	16059	-	PKJKAM_00118		Peptide deformylase	SO:0001217, UniRef:UniRef50_P57948
contig_28	cds	16191	17315	+	PKJKAM_00119	dprA	DprA winged helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A6N2WU06
contig_28	cds	17287	17760	+	PKJKAM_00120		Protein Smg	SO:0001217, UniRef:UniRef50_P0A828
contig_28	cds	17787	18329	+	PKJKAM_00121	yrdD	Uncharacterized protein YrdD	SO:0001217, UniRef:UniRef50_P45771
contig_28	cds	18334	18906	+	PKJKAM_00122		Threonylcarbamoyl-AMP synthase	SO:0001217, UniRef:UniRef50_P45748
contig_28	cds	18908	19729	+	PKJKAM_00123		Shikimate dehydrogenase (NADP(+))	SO:0001217, UniRef:UniRef50_A0A0X9VZD4
contig_28	cds	19726	19983	+	PKJKAM_00124		DUF1488 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A8E1RUV6
contig_28	cds	19959	20513	-	PKJKAM_00125		Transferase	SO:0001217, UniRef:UniRef50_A0AAX2K897
contig_29	cds	51	4031	+	PKJKAM_00126	mukB	Chromosome partition protein MukB	SO:0001217, UniRef:UniRef50_P22523
contig_29	cds	4376	6226	+	PKJKAM_00127		Putative peptidoglycan binding domain protein	SO:0001217, UniRef:UniRef50_I2BAM7
contig_29	cds	6486	7034	+	PKJKAM_00128		DUF882 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2G0QAZ9
contig_29	cds	7062	7709	+	PKJKAM_00129		Metallo-beta-lactamase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A090V2C0
contig_29	cds	7771	8961	-	PKJKAM_00130	aspC	aspartate transaminase	BlastRules:WP_000462687, EC:2.6.1.1, SO:0001217, UniRef:UniRef50_P00509
contig_29	cds	9146	10237	-	PKJKAM_00131	ompF	porin OmpF	BlastRules:WP_000977709, SO:0001217, UniRef:UniRef50_Q56113
contig_29	cds	10844	12244	-	PKJKAM_00132		Asparagine--tRNA ligase	SO:0001217, UniRef:UniRef50_B0JN99
contig_29	cds	12445	12906	-	PKJKAM_00133		Leucine-responsive regulatory protein	SO:0001217, UniRef:UniRef50_A0A2X4XIS4
