# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	132	326	-	ONMMKP_00001		hypothetical protein	PFAM:PF01815.21
contig_1	oriT	364	589	?			origin of transfer	
contig_1	cds	598	921	+	ONMMKP_00002	mobA	plasmid mobilization protein MobA	SO:0001217, UniRef:UniRef50_UPI0024BB71E6
contig_1	cds	1170	1874	-	ONMMKP_00003	arsR	ArsR family transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A6C7A3S3
contig_1	cds	1877	2011	-	ONMMKP_00004		hypothetical protein	
contig_1	ncRNA	2554	2653	-	ONMMKP_00005	RNAI	RNAI	RFAM:RF00106, SO:0000655
contig_2	oriT	590	669	?			origin of transfer	
contig_2	cds	750	941	-	ONMMKP_00006		RNAI modulator protein Rop	SO:0001217, UniRef:UniRef50_A0A0D0LJT0
contig_2	cds	973	1329	+	ONMMKP_00007	mbeC	Mobilization protein MbeC	SO:0001217, UniRef:UniRef50_P13657
contig_2	cds	2007	2525	+	ONMMKP_00008	mbeB	Mobilization protein MbeB	SO:0001217, UniRef:UniRef50_P13659
contig_2	cds	2532	2765	+	ONMMKP_00009	mbeD	MbeD family mobilization/exclusion protein	SO:0001217, UniRef:UniRef50_UPI001CDB3518
contig_2	cds	3100	3984	-	ONMMKP_00010		hypothetical protein	PFAM:PF00009.33, PFAM:PF00350.29, PFAM:PF04548.22, PFAM:PF04670.18
contig_2	cds	4020	4454	-	ONMMKP_00011		Prophage protein	SO:0001217, UniRef:UniRef50_A0A826J7I4
contig_2	cds	4682	5494	-	ONMMKP_00012		Peptidase	SO:0001217, UniRef:UniRef50_A0A0C5DVH7
contig_2	ncRNA	5688	5791	-	ONMMKP_00013	RNAI	RNAI	RFAM:RF00106, SO:0000655
contig_3	cds	66	623	-	ONMMKP_00014	fin	serine-type DNA invertase Fin	BlastRules:WP_001165559, SO:0001217, UniRef:UniRef50_A0A328TJA5
contig_3	cds	653	1642	+	ONMMKP_00015		hypothetical protein	
contig_3	cds	1642	2229	+	ONMMKP_00016		hypothetical protein	
contig_3	cds	2233	2772	-	ONMMKP_00017		Tail fiber assembly protein	SO:0001217, UniRef:UniRef50_A0A633CHN0
contig_3	cds	2775	3692	-	ONMMKP_00018		Bacteriophage T7 Gp17 C-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A0A7U9P051
contig_4	cds	37	510	-	ONMMKP_00019		hypothetical protein	
contig_4	cds	1024	1197	-	ONMMKP_00020		hypothetical protein	
contig_4	cds	1407	3137	-	ONMMKP_00021		Periplasmic protein	SO:0001217, UniRef:UniRef50_A0A0R9PUQ5
contig_4	cds	3194	5362	-	ONMMKP_00022		Sel1 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0T9QR00
contig_4	cds	5705	6403	-	ONMMKP_00023		Core-binding (CB) domain-containing protein	SO:0001217, UniRef:UniRef50_A0A8D5C0H2
contig_4	ncRNA	6465	6594	-	ONMMKP_00024	EFASI	EFASI RNA	RFAM:RF02957, SO:0000655
contig_4	cds	6879	7352	-	ONMMKP_00025		hypothetical protein	
contig_4	tRNA	7515	7590	-	ONMMKP_00026	trnN	tRNA-Asn(gtt)	SO:0000257
contig_4	tRNA	8485	8560	-	ONMMKP_00027	trnN	tRNA-Asn(gtt)	SO:0000257
contig_4	cds	8661	9458	-	ONMMKP_00028		Mlc titration factor A	SO:0001217, UniRef:UniRef50_P76346
contig_4	tRNA	9547	9636	+	ONMMKP_00029	trnS	tRNA-Ser(cga)	SO:0000269
contig_4	cds	10227	10646	+	ONMMKP_00030	umuD	DNA polymerase V subunit UmuD	SO:0001217, UniRef:UniRef50_A0A2X2GI67
contig_4	cds	10649	11917	+	ONMMKP_00031	umuC	Protein UmuC	SO:0001217, UniRef:UniRef50_P22494
contig_4	ncRNA-region	12226	12623	+			cspA thermoregulator	RFAM:RF01766, SO:0002168
contig_4	cds	12372	12584	+	ONMMKP_00032		CSD domain-containing protein	SO:0001217, UniRef:UniRef50_A7ME79
contig_4	ncRNA	12741	12820	+	ONMMKP_00033	STnc220	Salmonella enterica sRNA STnc220	RFAM:RF02077, SO:0000655
contig_4	cds	13044	14222	-	ONMMKP_00034	ompS1	porin OmpS1	BlastRules:WP_001080666, BlastRules:WP_001080680, SO:0001217, UniRef:UniRef50_P02931
contig_4	ncRNA	14522	14616	-	ONMMKP_00035	rseX	rseX Hfq binding RNA	RFAM:RF01401, SO:0000655
contig_4	cds	14872	15183	+	ONMMKP_00036	drpB	Cell division protein DrpB	SO:0001217, UniRef:UniRef50_I2B7X6
contig_4	cds	15263	15958	+	ONMMKP_00037		HD domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0U5GN06
contig_4	cds	16032	17462	+	ONMMKP_00038		Cytosine-specific methyltransferase	SO:0001217, UniRef:UniRef50_A0A014NA45
contig_4	cds	17443	17913	+	ONMMKP_00039		DNA mismatch endonuclease Vsr	SO:0001217, UniRef:UniRef50_P09184
contig_4	cds	17902	18822	-	ONMMKP_00040	eamA	EamA domain-containing protein	SO:0001217, UniRef:UniRef50_A0A7U3Z0B7
contig_4	cds	18998	19909	+	ONMMKP_00041		DUF808 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0U3TAT1
contig_4	cds	19986	20171	+	ONMMKP_00042		hypothetical protein	
contig_4	cds	20336	22048	+	ONMMKP_00043	dgcQ	putative diguanylate cyclase DgcQ	SO:0001217, UniRef:UniRef50_P76330
contig_4	cds	22027	22842	-	ONMMKP_00044		Mannosyl-3-phosphoglycerate phosphatase	SO:0001217, UniRef:UniRef50_P76329
contig_4	ncRNA	23055	23138	+	ONMMKP_00045	dsrA	DsrA RNA	RFAM:RF00014, SO:0000655
contig_4	cds	23152	23379	-	ONMMKP_00046	yodD	YodD family peroxide/acid resistance protein	BlastRules:WP_000844800, SO:0001217, UniRef:UniRef50_L0M4N5
contig_4	cds	23508	23702	+	ONMMKP_00047	dsrB	Protein DsrB	SO:0001217, UniRef:UniRef50_Q8ZFN8
contig_4	cds	23741	24364	-	ONMMKP_00048	rcsA	Transcriptional regulatory protein RcsA	SO:0001217, UniRef:UniRef50_P0DMC9
