# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	sorf	169	255	+	AJBGEP_00001	58.5	9.1e-18	1.0	1.0	1.0	UniRef:UniRef50_Q7CRA3
contig_1	ncRNA-region	191	311	+	-	126.4	1.6e-22	-	-	-	RFAM:RF00506
contig_1	cds	337	2799	+	AJBGEP_00002	1284.0	0.0	1.123	1.0	0.742	UniRef:UniRef50_P00561
contig_1	cds	2801	3730	+	AJBGEP_00003	382.0	6.0e-132	1.0	0.987	0.573	UniRef:UniRef50_Q493S9
contig_1	cds	3734	5020	+	AJBGEP_00004	508.0	1.4e-177	1.051	1.0	0.589	UniRef:UniRef50_Q89AR5
contig_1	cds	5114	5887	-	AJBGEP_00005	369.0	2.5e-128	0.996	0.992	0.738	UniRef:UniRef50_A0A6I6EGM8
contig_1	cds	5966	7396	-	AJBGEP_00006	726.0	1.2e-261	1.0	0.924	0.767	UniRef:UniRef50_P30143
contig_1	cds	7665	8618	+	AJBGEP_00007	619.0	2.5e-227	1.0	1.0	1.0	BlastRules:WP_000130175
contig_1	cds	8729	9319	+	AJBGEP_00008	251.0	1.0e-83	0.974	0.970	0.670	UniRef:UniRef50_A0A0A2Z689
contig_1	cds	9376	9942	-	AJBGEP_00009	204.0	5.8e-66	0.920	1.006	0.694	UniRef:UniRef50_A0A8S0G258
contig_1	cds	10092	10805	-	AJBGEP_00010	447.0	1.0e-159	0.992	0.904	1.0	UniRef:UniRef50_P58316
contig_1	cds	10841	11245	-	AJBGEP_00011	-	-	-	-	-	-
contig_1	cds	11593	13509	+	AJBGEP_00012	1045.0	0.0	1.158	1.004	0.788	UniRef:UniRef50_P43736
contig_1	ncRNA	13520	13594	+	AJBGEP_00013	84.0	1.9e-16	-	-	-	RFAM:RF02031
contig_1	cds	13595	14734	+	AJBGEP_00014	452.0	2.3e-157	1.005	0.967	0.646	UniRef:UniRef50_A0A4R1HEE6
contig_1	cds	15014	15961	+	AJBGEP_00015	608.0	5.7e-221	1.0	0.960	0.997	UniRef:UniRef50_A0A0L0AFF1
contig_1	cds	16088	16432	+	AJBGEP_00016	203.0	1.9e-67	0.939	0.863	0.991	UniRef:UniRef50_A0A0H3FW56
contig_1	cds	16493	17026	-	AJBGEP_00017	-	-	-	-	-	-
contig_1	cds	17043	17486	-	AJBGEP_00018	279.0	3.7e-96	0.993	0.885	0.986	UniRef:UniRef50_Q8ZS10
contig_1	cds	17867	19966	+	AJBGEP_00019	703.0	7.8e-246	1.082	1.030	0.525	UniRef:UniRef50_A0A0L0AFP7
contig_1	cds	20058	23054	+	AJBGEP_00020	1606.0	0.0	0.812	1.0	0.986	UniRef:UniRef50_A0A3S4FS72
contig_1	cds	23335	24039	+	AJBGEP_00021	434.0	2.0e-154	1.158	1.0	0.834	UniRef:UniRef50_E3G2G5
contig_1	cds	24469	25011	+	AJBGEP_00022	318.0	1.6e-110	1.078	1.0	0.923	UniRef:UniRef50_A9MR69
contig_1	cds	25112	25798	+	AJBGEP_00023	435.0	9.5e-158	1.0	1.0	1.0	BlastRules:WP_000742551
contig_1	cds	25803	28424	+	AJBGEP_00024	1732.0	0.0	1.0	1.0	0.994	BlastRules:WP_001245864
contig_1	cds	28425	29432	+	AJBGEP_00025	650.0	7.7e-237	1.024	1.0	0.971	UniRef:UniRef50_A9MR66
contig_1	cds	29433	29978	+	AJBGEP_00026	357.0	5.5e-126	1.044	1.0	0.952	UniRef:UniRef50_A9MR65
contig_1	cds	29994	30512	+	AJBGEP_00027	-	-	-	-	-	-
contig_1	cds	30478	31209	+	AJBGEP_00028	510.0	8.0e-187	1.0	1.0	1.0	BlastRules:WP_001135039
contig_1	cds	31274	32119	+	AJBGEP_00029	305.0	4.2e-102	0.954	0.867	0.619	UniRef:UniRef50_A0AAN3RST5
contig_1	cds	32158	32445	+	AJBGEP_00030	186.0	2.3e-61	0.958	0.883	1.0	UniRef:UniRef50_A0A764GR16
contig_1	cds	32545	32994	-	AJBGEP_00031	254.0	2.0e-86	0.966	0.960	0.889	UniRef:UniRef50_A9MR60
contig_1	cds	33364	34368	+	AJBGEP_00032	632.0	1.2e-229	0.988	0.957	0.964	UniRef:UniRef50_A9MR59
contig_1	cds	34376	34816	-	AJBGEP_00033	271.0	2.3e-93	1.089	1.0	0.918	UniRef:UniRef50_A9MR58
contig_1	cds	35339	37057	+	AJBGEP_00034	692.0	1.3e-245	1.021	0.986	0.577	UniRef:UniRef50_A9MR51
contig_1	cds	37103	38665	-	AJBGEP_00035	984.0	0.0	1.0	0.979	1.0	UniRef:UniRef50_A9MR56
contig_1	cds	38773	39534	-	AJBGEP_00036	320.0	5.0e-109	0.984	0.883	0.598	UniRef:UniRef50_A9MR55
contig_1	cds	40131	41624	+	AJBGEP_00037	897.0	0.0	0.976	0.945	0.880	UniRef:UniRef50_A0A237NMI4
contig_1	cds	41723	42913	+	AJBGEP_00038	479.0	2.2e-166	0.987	0.844	0.565	UniRef:UniRef50_A0A084ZQX2
contig_1	cds	42938	44185	+	AJBGEP_00039	582.0	4.9e-207	0.990	0.943	0.672	UniRef:UniRef50_A9MR52
contig_1	cds	44312	46027	+	AJBGEP_00040	1131.0	0.0	1.021	0.985	0.962	UniRef:UniRef50_A9MR51
contig_1	cds	46190	47356	+	AJBGEP_00041	462.0	2.9e-160	0.982	0.858	0.635	UniRef:UniRef50_A8G9L0
contig_1	cds	47424	48317	+	AJBGEP_00042	484.0	4.3e-172	0.990	0.899	0.793	UniRef:UniRef50_P0A9G2
contig_1	cds	48372	50411	-	AJBGEP_00043	1370.0	0.0	1.0	0.963	0.938	UniRef:UniRef50_Q01336
contig_1	cds	50451	51824	-	AJBGEP_00044	564.0	6.4e-199	0.989	0.956	0.606	UniRef:UniRef50_A0A6C6YXS9
contig_1	cds	52319	52528	+	AJBGEP_00045	142.0	1.4e-44	1.0	1.0	1.0	UniRef:UniRef50_C5B7M1
contig_1	cds	52872	53810	+	AJBGEP_00046	415.0	4.9e-144	0.981	0.816	0.680	UniRef:UniRef50_Q7N8X3
contig_1	cds	53855	56689	+	AJBGEP_00047	1377.0	0.0	1.001	0.970	0.704	UniRef:UniRef50_Q8ZIM0
contig_1	cds	56689	57189	+	AJBGEP_00048	265.0	6.6e-90	0.952	0.814	0.804	UniRef:UniRef50_Q9KU46
contig_1	cds	57344	57793	+	AJBGEP_00049	168.0	2.0e-52	0.960	0.935	0.573	UniRef:UniRef50_A0A376DLB2
contig_1	cds	57796	58746	+	AJBGEP_00050	419.0	2.5e-145	0.984	0.829	0.678	UniRef:UniRef50_P62623
contig_1	ncRNA	58792	58923	+	AJBGEP_00051	170.4	9.1e-31	-	-	-	RFAM:RF02048
contig_1	cds	58946	60148	+	AJBGEP_00052	842.0	1.0e-310	1.0	0.983	1.0	UniRef:UniRef50_M7RH86
contig_1	cds	60164	61084	+	AJBGEP_00053	486.0	1.3e-172	0.987	0.910	0.795	UniRef:UniRef50_P22564
contig_1	cds	61106	61792	-	AJBGEP_00054	381.0	5.6e-134	0.996	0.946	0.841	UniRef:UniRef50_P52688
contig_1	cds	61794	63452	-	AJBGEP_00055	898.0	0.0	0.976	0.942	0.852	UniRef:UniRef50_P52687
contig_1	cds	63548	64849	-	AJBGEP_00056	788.0	1.5e-287	1.0	0.880	0.988	UniRef:UniRef50_P13156
contig_1	cds	64862	66637	-	AJBGEP_00057	1036.0	0.0	1.181	1.003	0.828	UniRef:UniRef50_A0A379XLB9
contig_1	cds	66654	66893	-	AJBGEP_00058	111.0	4.6e-32	0.949	0.938	0.827	UniRef:UniRef50_A0A379UMS0
contig_1	cds	67052	68392	-	AJBGEP_00059	842.0	2.3e-311	1.0	1.0	1.0	BlastRules:WP_000183602
