#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	10841	11245	-	LNHIMF_00011	14.4	9.1		
contig_1	16495	17028	-	LNHIMF_00017	19.9	5.6	PF05838.17|Glyco_hydro_108, PF09374.15|PG_binding_3	PFAM:PF05838.17, PFAM:PF09374.15
contig_1	29998	30516	+	LNHIMF_00027	17.8	4.3	PF00419.26|Fimbrial	PFAM:PF00419.26
contig_1	80541	80936	+	LNHIMF_00070	15.4	9.4		
contig_1	94125	94547	+	LNHIMF_00084	15.7	9.0		
contig_1	276619	276711	+	LNHIMF_00243	2.9	8.5		
contig_1	282470	282730	-	LNHIMF_00248	9.6	4.5		
contig_1	288796	289449	-	LNHIMF_00257	23.2	9.8		
contig_1	315841	315939	+	LNHIMF_00285	3.5	6.7		
contig_1	325735	325908	+	LNHIMF_00298	6.1	4.9		
contig_1	330837	331676	+	LNHIMF_00302	30.7	5.0		SO:0001217, UniRef:UniRef50_A0A4Z0KIB2
contig_1	338475	338777	-	LNHIMF_00307	11.5	9.4		
contig_1	339579	339716	-	LNHIMF_00309	5.9	9.4		
contig_1	340307	340423	-	LNHIMF_00311	4.2	10.2		
contig_1	340445	340819	-	LNHIMF_00312	14.2	8.9	PF08845.15|SymE_toxin	PFAM:PF08845.15
contig_1	342127	342405	+	LNHIMF_00315	11.0	9.6	PF13683.12|rve_3	PFAM:PF13683.12
contig_1	343879	344484	+	LNHIMF_00317	22.1	5.6	PF00345.26|PapD_N, PF02753.23|PapD_C	PFAM:PF00345.26, PFAM:PF02753.23
contig_1	350425	350793	-	LNHIMF_00322	14.3	10.0		
contig_1	351604	351834	+	LNHIMF_00324	8.7	6.0		
contig_1	353466	353984	+	LNHIMF_00326	18.0	5.7		
contig_1	359575	359733	+	LNHIMF_00331	5.8	6.5		
contig_1	380428	381252	+	LNHIMF_00351	32.1	5.4		SO:0001217, UniRef:UniRef50_A0A1X1EPC2
contig_1	381705	381878	-	LNHIMF_00353	6.8	9.8		
contig_1	382009	382185	+	LNHIMF_00354	6.6	11.2		
contig_1	382569	382853	+	LNHIMF_00356	9.9	5.4		SO:0001217, UniRef:UniRef50_A0A3T2ZPT9
contig_1	386302	387063	+	LNHIMF_00359	28.3	8.0		
contig_1	391584	391751	-	LNHIMF_00363	6.2	9.6		
contig_1	416113	418071	+	LNHIMF_00384	73.3	5.4	PF01555.25|N6_N4_Mtase, PF18273.6|T3RM_EcoP15I_C	PFAM:PF01555.25, PFAM:PF18273.6
contig_1	450565	450885	+	LNHIMF_00411	11.6	9.6	PF07769.19|PsiF_repeat	PFAM:PF07769.19
contig_1	532085	532396	-	LNHIMF_00491	11.4	10.3	PF01035.26|DNA_binding_1	PFAM:PF01035.26
contig_1	577771	577875	+	LNHIMF_00536	3.8	6.7		SO:0001217, UniRef:UniRef50_V1H4Y4
contig_1	602977	603327	-	LNHIMF_00565	13.4	4.6		
contig_1	603328	603600	-	LNHIMF_00566	10.1	4.3		SO:0001217, UniRef:UniRef50_A0A2J4R7X9
contig_1	603941	604441	-	LNHIMF_00568	18.9	5.3		
contig_1	606781	606933	-	LNHIMF_00574	5.9	11.0		
contig_1	606918	607049	-	LNHIMF_00575	4.9	10.0		
contig_1	607074	608042	-	LNHIMF_00576	36.8	5.5		
contig_1	615959	616162	+	LNHIMF_00591	7.9	9.6		
contig_1	616143	616322	+	LNHIMF_00592	6.8	6.1		
contig_1	618737	618832	+	LNHIMF_00597	3.5	4.1		
contig_1	627628	627807	+	LNHIMF_00608	6.6	9.6		
contig_1	628432	628794	+	LNHIMF_00611	13.6	4.3		
contig_1	632130	632354	-	LNHIMF_00617	8.4	6.1		
contig_1	632422	632679	+	LNHIMF_00618	9.9	9.0		
contig_1	635745	636041	+	LNHIMF_00625	10.7	8.0		
contig_1	641747	641986	-	LNHIMF_00632	8.6	4.5		SO:0001217, UniRef:UniRef50_A0A2J0PD70
contig_1	642455	643159	+	LNHIMF_00634	25.8	4.6		
contig_1	651444	651665	-	LNHIMF_00642	8.6	9.9		
contig_1	651788	652093	+	LNHIMF_00643	11.4	4.3		SO:0001217, UniRef:UniRef50_UPI0025A922D0
contig_1	652090	652524	+	LNHIMF_00644	16.4	5.1		SO:0001217, UniRef:UniRef50_A0A759P1M6
contig_1	653719	654051	-	LNHIMF_00647	12.1	6.7		
contig_1	655233	655460	+	LNHIMF_00652	8.4	4.6		
contig_1	656563	656868	+	LNHIMF_00655	11.4	4.7		SO:0001217, UniRef:UniRef50_A0A2C9NUR8
contig_1	656958	657341	+	LNHIMF_00656	14.2	7.8		SO:0001217, UniRef:UniRef50_A0A411WQK1
contig_1	665161	665697	+	LNHIMF_00668	19.3	9.3	PF10721.14|DUF2514	PFAM:PF10721.14
contig_1	665694	665945	+	LNHIMF_00669	9.3	5.3		SO:0001217, UniRef:UniRef50_A0A0J1LVV7
contig_1	666021	666554	+	LNHIMF_00670	20.1	5.1		SO:0001217, UniRef:UniRef50_A0A5Y6MCX9
contig_1	674015	674257	+	LNHIMF_00677	8.9	5.8	PF13856.12|Gifsy-2	PFAM:PF13856.12
contig_1	680877	681482	-	LNHIMF_00686	22.8	11.8		
contig_1	685637	685879	+	LNHIMF_00689	8.6	9.6		
contig_1	689411	689641	+	LNHIMF_00693	8.5	6.7		
contig_1	689969	690739	-	LNHIMF_00695	29.1	8.7	PF00497.25|SBP_bac_3	PFAM:PF00497.25
contig_1	692429	693127	-	LNHIMF_00698	26.4	6.5	PF03358.20|FMN_red	PFAM:PF03358.20
contig_1	695225	695476	-	LNHIMF_00702	9.8	11.5		
contig_1	701513	701935	-	LNHIMF_00712	15.8	10.5	PF02518.31|HATPase_c, PF14501.12|HATPase_c_5	PFAM:PF02518.31, PFAM:PF14501.12
contig_1	710158	711912	+	LNHIMF_00721	62.4	5.4	PF03797.25|Autotransporter	PFAM:PF03797.25
contig_1	761073	761171	+	LNHIMF_00768	3.8	5.3		
contig_1	822711	822860	+	LNHIMF_00833	5.7	8.7		
contig_1	824957	825499	+	LNHIMF_00837	20.1	8.5	PF03925.18|SeqA, PF17206.9|SeqA_N	PFAM:PF03925.18, PFAM:PF17206.9
contig_1	831724	831828	-	LNHIMF_00842	4.3	11.8		
contig_1	848568	848789	+	LNHIMF_00856	8.0	6.5		
contig_1	859488	859625	+	LNHIMF_00866	5.4	6.0		
contig_1	873725	873850	+	LNHIMF_00878	4.6	9.0		
contig_1	878015	878128	+	LNHIMF_00881	4.0	4.5		
contig_1	880240	881271	+	LNHIMF_00886	36.6	9.8		
contig_1	888635	889021	-	LNHIMF_00898	13.3	5.2		
contig_1	897950	898858	-	LNHIMF_00907	33.3	6.2		
contig_1	983038	983229	+	LNHIMF_00985	7.4	5.1		SO:0001217, UniRef:UniRef50_A9MMV4
contig_1	1015126	1015641	-	LNHIMF_01020	18.8	5.9	PF12883.13|DUF3828	PFAM:PF12883.13
contig_1	1062114	1062281	-	LNHIMF_01058	6.7	8.3		
contig_1	1131643	1132431	+	LNHIMF_01113	29.6	9.5	PF00165.29|HTH_AraC, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF12833.13
contig_1	1134490	1134603	+	LNHIMF_01118	4.5	9.2		
contig_1	1164878	1165045	+	LNHIMF_01150	5.7	10.5		
contig_1	1165182	1165820	+	LNHIMF_01151	23.8	9.1	PF00440.29|TetR_N, PF08362.16|TetR_C_3	PFAM:PF00440.29, PFAM:PF08362.16
contig_1	1189441	1189896	+	LNHIMF_01176	16.2	9.7	PF07012.17|Curlin_rpt	PFAM:PF07012.17
contig_1	1189938	1190393	+	LNHIMF_01177	15.3	5.0	PF07012.17|Curlin_rpt	PFAM:PF07012.17
contig_1	1232497	1232721	+	LNHIMF_01221	8.4	4.5		SO:0001217, UniRef:UniRef50_G5NAS5
contig_1	1279295	1279588	+	LNHIMF_01268	11.2	9.1		
contig_1	1295746	1295910	+	LNHIMF_01286	6.2	8.9		
contig_1	1301688	1301861	-	LNHIMF_01295	6.5	10.5		
contig_1	1302987	1304030	+	LNHIMF_01297	39.0	5.9	PF13088.12|BNR_2	PFAM:PF13088.12
contig_1	1304792	1305106	-	LNHIMF_01299	10.6	8.8	PF13146.11|TRL	PFAM:PF13146.11
contig_1	1311982	1312308	+	LNHIMF_01306	12.1	4.9	PF03860.21|DUF326	PFAM:PF03860.21
contig_1	1326742	1326948	+	LNHIMF_01330	7.5	6.0		
contig_1	1354930	1355145	+	LNHIMF_01355	8.6	8.5		SO:0001217, UniRef:UniRef50_A0A4Z0P2U0
contig_1	1373643	1374602	-	LNHIMF_01376	34.9	6.1		
contig_1	1389019	1389210	-	LNHIMF_01393	7.1	6.7		
contig_1	1422986	1423198	+	LNHIMF_01424	7.9	8.8		
contig_1	1495486	1497684	-	LNHIMF_01507	78.4	9.0	PF00037.32|Fer4, PF01512.22|Complex1_51K, PF10531.15|SLBB, PF12797.12|Fer4_2, PF12838.12|Fer4_7, PF13183.11|Fer4_8, PF13237.11|Fer4_10, PF13375.12|RnfC_N, PF13534.11|Fer4_17	PFAM:PF00037.32, PFAM:PF01512.22, PFAM:PF10531.15, PFAM:PF12797.12, PFAM:PF12838.12, PFAM:PF13183.11, PFAM:PF13237.11, PFAM:PF13375.12, PFAM:PF13534.11
contig_1	1559536	1559718	+	LNHIMF_01563	6.1	9.9		
contig_1	1561533	1561628	-	LNHIMF_01567	3.5	5.4		
