# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	sorf	169	255	+	LNHIMF_00001	58.5	9.1e-18	1.0	1.0	1.0	UniRef:UniRef50_Q7CRA3
contig_1	ncRNA-region	191	311	+	-	126.4	1.6e-22	-	-	-	RFAM:RF00506
contig_1	cds	337	2799	+	LNHIMF_00002	1285.0	0.0	1.123	1.0	0.740	UniRef:UniRef50_P00561
contig_1	cds	2801	3730	+	LNHIMF_00003	382.0	6.0e-132	1.0	0.987	0.573	UniRef:UniRef50_Q493S9
contig_1	cds	3734	5020	+	LNHIMF_00004	508.0	1.4e-177	1.051	1.0	0.589	UniRef:UniRef50_Q89AR5
contig_1	cds	5114	5887	-	LNHIMF_00005	369.0	1.7e-128	0.996	0.992	0.738	UniRef:UniRef50_A0A6I6EGM8
contig_1	cds	5966	7396	-	LNHIMF_00006	726.0	6.0e-262	1.0	0.924	0.769	UniRef:UniRef50_P30143
contig_1	cds	7665	8618	+	LNHIMF_00007	617.0	1.5e-226	1.0	1.0	0.997	BlastRules:WP_000130175
contig_1	cds	8729	9319	+	LNHIMF_00008	250.0	1.4e-83	0.974	0.970	0.670	UniRef:UniRef50_A0A0A2Z689
contig_1	cds	9376	9942	-	LNHIMF_00009	206.0	1.4e-66	0.920	1.006	0.699	UniRef:UniRef50_A0A8S0G258
contig_1	cds	10092	10805	-	LNHIMF_00010	445.0	5.9e-159	0.992	0.904	0.996	UniRef:UniRef50_P58316
contig_1	cds	10841	11245	-	LNHIMF_00011	-	-	-	-	-	-
contig_1	cds	11594	13510	+	LNHIMF_00012	1046.0	0.0	1.158	1.004	0.788	UniRef:UniRef50_P43736
contig_1	ncRNA	13521	13595	+	LNHIMF_00013	84.0	1.9e-16	-	-	-	RFAM:RF02031
contig_1	cds	13596	14735	+	LNHIMF_00014	452.0	2.3e-157	1.005	0.967	0.646	UniRef:UniRef50_A0A4R1HEE6
contig_1	cds	15016	15963	+	LNHIMF_00015	603.0	5.4e-219	1.0	0.960	0.987	UniRef:UniRef50_A0A0L0AFF1
contig_1	cds	16090	16434	+	LNHIMF_00016	203.0	1.9e-67	0.939	0.863	0.991	UniRef:UniRef50_A0A0H3FW56
contig_1	cds	16495	17028	-	LNHIMF_00017	-	-	-	-	-	-
contig_1	cds	17045	17488	-	LNHIMF_00018	283.0	1.1e-97	0.993	0.885	1.0	UniRef:UniRef50_Q8ZS10
contig_1	cds	17869	19968	+	LNHIMF_00019	709.0	4.2e-248	1.080	1.029	0.528	UniRef:UniRef50_A0A0L0AFP7
contig_1	cds	20061	23057	+	LNHIMF_00020	1608.0	0.0	0.812	1.0	0.986	UniRef:UniRef50_A0A3S4FS72
contig_1	cds	23346	24041	+	LNHIMF_00021	430.0	6.0e-153	1.160	0.989	0.836	UniRef:UniRef50_E3G2G5
contig_1	cds	24472	25014	+	LNHIMF_00022	318.0	1.6e-110	1.078	1.0	0.923	UniRef:UniRef50_A9MR69
contig_1	cds	25116	25802	+	LNHIMF_00023	435.0	9.5e-158	1.0	1.0	1.0	BlastRules:WP_000742551
contig_1	cds	25807	28428	+	LNHIMF_00024	1724.0	0.0	1.0	1.0	0.989	BlastRules:WP_001245864
contig_1	cds	28429	29436	+	LNHIMF_00025	644.0	2.1e-234	1.024	1.0	0.965	UniRef:UniRef50_A9MR66
contig_1	cds	29437	29982	+	LNHIMF_00026	358.0	1.3e-126	1.044	1.0	0.958	UniRef:UniRef50_A9MR65
contig_1	cds	29998	30516	+	LNHIMF_00027	-	-	-	-	-	-
contig_1	cds	30482	31213	+	LNHIMF_00028	498.0	3.0e-182	1.0	1.0	0.971	BlastRules:WP_001135039
contig_1	cds	31278	32123	+	LNHIMF_00029	305.0	2.9e-102	0.954	0.867	0.616	UniRef:UniRef50_A0AAN3RST5
contig_1	cds	32162	32449	+	LNHIMF_00030	185.0	6.4e-61	0.958	0.883	0.989	UniRef:UniRef50_A0A764GR16
contig_1	cds	32549	32998	-	LNHIMF_00031	250.0	4.6e-85	0.966	0.960	0.882	UniRef:UniRef50_A9MR60
contig_1	cds	33368	34372	+	LNHIMF_00032	649.0	1.6e-236	0.988	0.957	1.0	UniRef:UniRef50_A9MR59
contig_1	cds	34380	34817	-	LNHIMF_00033	255.0	7.9e-87	1.097	1.0	0.881	UniRef:UniRef50_A9MR58
contig_1	cds	35340	37058	+	LNHIMF_00034	694.0	3.2e-246	1.021	0.986	0.577	UniRef:UniRef50_A9MR51
contig_1	cds	37104	38666	-	LNHIMF_00035	983.0	0.0	1.0	0.979	0.998	UniRef:UniRef50_A9MR56
contig_1	cds	38774	39535	-	LNHIMF_00036	324.0	2.1e-110	0.984	0.883	0.602	UniRef:UniRef50_A9MR55
contig_1	cds	40130	41623	+	LNHIMF_00037	896.0	0.0	0.976	0.945	0.878	UniRef:UniRef50_A0A237NMI4
contig_1	cds	41722	42912	+	LNHIMF_00038	477.0	1.3e-165	0.987	0.844	0.563	UniRef:UniRef50_A0A084ZQX2
contig_1	cds	42937	44184	+	LNHIMF_00039	579.0	4.0e-206	0.990	0.943	0.667	UniRef:UniRef50_A9MR52
contig_1	cds	44311	46026	+	LNHIMF_00040	1139.0	0.0	1.021	0.985	0.964	UniRef:UniRef50_A9MR51
contig_1	cds	46189	47355	+	LNHIMF_00041	462.0	2.9e-160	0.982	0.858	0.635	UniRef:UniRef50_A8G9L0
contig_1	cds	47423	48316	+	LNHIMF_00042	485.0	1.0e-172	0.990	0.899	0.796	UniRef:UniRef50_P0A9G2
contig_1	cds	48371	50410	-	LNHIMF_00043	1370.0	0.0	1.0	0.963	0.938	UniRef:UniRef50_Q01336
contig_1	cds	50450	51823	-	LNHIMF_00044	563.0	1.3e-198	0.989	0.956	0.606	UniRef:UniRef50_A0A6C6YXS9
contig_1	cds	52323	52532	+	LNHIMF_00045	142.0	1.4e-44	1.0	1.0	1.0	UniRef:UniRef50_C5B7M1
contig_1	cds	52876	53814	+	LNHIMF_00046	415.0	4.9e-144	0.981	0.816	0.680	UniRef:UniRef50_Q7N8X3
contig_1	cds	53859	56693	+	LNHIMF_00047	1378.0	0.0	1.001	0.970	0.705	UniRef:UniRef50_Q8ZIM0
contig_1	cds	56693	57193	+	LNHIMF_00048	263.0	3.8e-89	0.952	0.814	0.797	UniRef:UniRef50_Q9KU46
contig_1	cds	57348	57797	+	LNHIMF_00049	168.0	2.0e-52	0.960	0.935	0.573	UniRef:UniRef50_A0A376DLB2
contig_1	cds	57800	58750	+	LNHIMF_00050	420.0	8.6e-146	0.984	0.829	0.678	UniRef:UniRef50_P62623
contig_1	ncRNA	58796	58927	+	LNHIMF_00051	164.3	1.4e-29	-	-	-	RFAM:RF02048
contig_1	cds	58950	60152	+	LNHIMF_00052	812.0	5.6e-299	1.0	0.983	0.963	UniRef:UniRef50_M7RH86
contig_1	cds	60168	61088	+	LNHIMF_00053	494.0	5.7e-176	0.987	0.910	0.818	UniRef:UniRef50_P22564
contig_1	cds	61110	61796	-	LNHIMF_00054	382.0	2.8e-134	0.996	0.946	0.841	UniRef:UniRef50_P52688
contig_1	cds	61798	63456	-	LNHIMF_00055	900.0	0.0	0.976	0.942	0.852	UniRef:UniRef50_P52687
contig_1	cds	63552	64853	-	LNHIMF_00056	785.0	3.4e-286	1.0	0.880	0.984	UniRef:UniRef50_P13156
contig_1	cds	64866	66635	-	LNHIMF_00057	1018.0	0.0	1.182	1.0	0.805	UniRef:UniRef50_A0A379XLB9
contig_1	cds	66651	66890	-	LNHIMF_00058	117.0	1.2e-34	0.987	0.975	0.833	UniRef:UniRef50_A0A379UMS0
contig_1	cds	67049	68389	-	LNHIMF_00059	840.0	1.4e-310	1.0	1.0	0.996	BlastRules:WP_000183602
contig_1	cds	68634	69677	+	LNHIMF_00060	581.0	1.6e-209	0.839	0.874	0.993	UniRef:UniRef50_A0A379WFG3
contig_1	cds	69707	70000	+	LNHIMF_00061	111.0	1.1e-31	0.979	0.969	0.600	UniRef:UniRef50_B7LVP5
contig_1	cds	69997	70866	+	LNHIMF_00062	393.0	5.0e-136	0.993	0.827	0.707	UniRef:UniRef50_P17725
contig_1	cds	70877	72397	+	LNHIMF_00063	652.0	5.9e-232	0.964	0.914	0.682	UniRef:UniRef50_P75726
contig_1	cds	72397	72948	+	LNHIMF_00064	215.0	6.0e-70	0.956	0.888	0.606	UniRef:UniRef50_B7LWL8
contig_1	cds	72926	73834	+	LNHIMF_00065	416.0	8.9e-145	0.977	0.850	0.698	UniRef:UniRef50_B7LWM0
contig_1	cds	74014	74835	+	LNHIMF_00066	361.0	2.3e-124	0.971	0.849	0.691	UniRef:UniRef50_Q2NVY2
contig_1	ncRNA-region	74841	74918	+	-	99.7	2.2e-16	-	-	-	RFAM:RF02551
contig_1	cds	74962	75126	-	LNHIMF_00067	99.8	3.3e-28	1.0	0.947	0.870	UniRef:UniRef50_A0A757XJ93
contig_1	cds	75873	77021	+	LNHIMF_00068	656.0	7.4e-237	1.183	1.0	0.746	UniRef:UniRef50_P0A6F1
contig_1	cds	77040	80267	+	LNHIMF_00069	2052.0	0.0	0.999	0.824	0.979	UniRef:UniRef50_P00968
contig_1	cds	80541	80936	+	LNHIMF_00070	-	-	-	-	-	-
contig_1	cds	81013	81609	-	LNHIMF_00071	275.0	6.7e-93	1.0	0.892	0.702	UniRef:UniRef50_A0A376W173
contig_1	cds	81719	82504	-	LNHIMF_00072	474.0	2.4e-169	0.981	0.828	0.934	UniRef:UniRef50_P31551
contig_1	cds	82558	84111	-	LNHIMF_00073	603.0	3.1e-212	1.002	0.940	0.575	UniRef:UniRef50_P31552
contig_1	cds	84174	85391	-	LNHIMF_00074	832.0	6.0e-306	1.0	0.918	0.983	UniRef:UniRef50_P31572
contig_1	cds	85503	86645	-	LNHIMF_00075	759.0	1.0e-278	1.029	1.0	0.972	UniRef:UniRef50_P60584
contig_1	cds	86680	88197	-	LNHIMF_00076	773.0	3.0e-279	0.976	0.890	0.742	UniRef:UniRef50_P31553
contig_1	cds	88678	89448	+	LNHIMF_00077	402.0	3.9e-141	1.0	0.921	0.809	UniRef:UniRef50_A0A2X4TIQ2
contig_1	cds	89464	90405	+	LNHIMF_00078	551.0	3.5e-198	1.102	1.0	0.841	UniRef:UniRef50_P31574
contig_1	cds	90455	91741	+	LNHIMF_00079	513.0	1.6e-179	1.035	1.002	0.607	UniRef:UniRef50_A0A6A8QPB3
contig_1	cds	91738	92025	+	LNHIMF_00080	187.0	8.6e-62	1.116	1.0	0.858	UniRef:UniRef50_A0A120M097
contig_1	ncRNA	92050	92132	-	LNHIMF_00081	63.2	6.8e-09	-	-	-	RFAM:RF02564
contig_1	cds	92172	93512	+	LNHIMF_00082	888.0	0.0	1.0	0.809	1.0	UniRef:UniRef50_P31679
contig_1	cds	93601	93831	+	LNHIMF_00083	69.7	1.1e-15	1.013	1.0	0.519	UniRef:UniRef50_A0A0J8YCG2
contig_1	cds	94125	94547	+	LNHIMF_00084	-	-	-	-	-	-
contig_1	ncRNA	94548	94770	+	LNHIMF_00085	261.1	9.4e-40	-	-	-	RFAM:RF02050
contig_1	cds	94771	95061	-	LNHIMF_00086	140.0	4.3e-43	1.0	0.857	0.729	UniRef:UniRef50_A0A0H3GT82
contig_1	cds	95959	97848	+	LNHIMF_00087	1294.0	0.0	1.022	1.0	0.975	UniRef:UniRef50_A0A5E4TG07
contig_1	cds	98402	98932	+	LNHIMF_00088	255.0	1.3e-85	1.040	0.888	0.645	UniRef:UniRef50_Q8ZRW3
contig_1	cds	98925	100787	+	LNHIMF_00089	1023.0	0.0	1.106	0.999	0.816	UniRef:UniRef50_P03819
contig_1	cds	100986	101465	+	LNHIMF_00090	282.0	6.6e-97	1.0	0.874	0.836	UniRef:UniRef50_Q6D0D5
contig_1	cds	101573	102421	-	LNHIMF_00091	483.0	7.5e-173	0.972	0.993	0.818	UniRef:UniRef50_C4L9L6
contig_1	cds	102432	102809	-	LNHIMF_00092	239.0	5.5e-81	0.992	0.855	0.944	UniRef:UniRef50_Q56017
contig_1	cds	102812	103633	-	LNHIMF_00093	360.0	8.8e-124	0.971	0.855	0.660	UniRef:UniRef50_P06992
contig_1	cds	103630	104619	-	LNHIMF_00094	419.0	2.3e-145	1.009	0.902	0.642	UniRef:UniRef50_P58719
contig_1	cds	104619	105905	-	LNHIMF_00095	555.0	8.4e-196	0.995	0.926	0.660	UniRef:UniRef50_P0ABZ6
contig_1	cds	105959	108313	-	LNHIMF_00096	1149.0	0.0	1.018	0.989	0.702	UniRef:UniRef50_B4F2H9
contig_1	cds	108567	109379	+	LNHIMF_00097	257.0	1.2e-83	1.067	1.003	0.507	UniRef:UniRef50_Q74Q30
contig_1	cds	109474	110133	-	LNHIMF_00098	334.0	2.9e-115	1.0	0.811	0.744	UniRef:UniRef50_P0AA37
contig_1	cds	110145	113051	-	LNHIMF_00099	1768.0	0.0	0.985	0.873	0.931	UniRef:UniRef50_P60240
contig_1	cds	113225	115576	-	LNHIMF_00100	1463.0	0.0	1.0	0.812	0.895	UniRef:UniRef50_P21189
contig_1	cds	115620	116240	-	LNHIMF_00101	352.0	1.0e-122	1.0	0.811	0.903	UniRef:UniRef50_A0A6C6YWV0
contig_1	cds	116758	117177	+	LNHIMF_00102	263.0	4.7e-90	0.964	0.870	0.925	UniRef:UniRef50_S5NAE8
contig_1	cds	117183	117878	-	LNHIMF_00103	449.0	1.6e-160	1.0	0.843	0.939	UniRef:UniRef50_P08203
contig_1	cds	118019	119521	-	LNHIMF_00104	990.0	0.0	0.998	0.933	0.952	UniRef:UniRef50_P08202
contig_1	cds	119532	121241	-	LNHIMF_00105	799.0	7.4e-290	0.810	1.0	0.844	UniRef:UniRef50_A0A4P0XR93
contig_1	cds	121582	122427	+	LNHIMF_00106	536.0	1.3e-193	1.0	0.959	0.886	UniRef:UniRef50_A0A090V0Z5
contig_1	cds	122546	123313	+	LNHIMF_00107	350.0	3.4e-121	0.996	0.981	0.673	UniRef:UniRef50_A0A377TMN9
contig_1	cds	123352	124059	-	LNHIMF_00108	219.0	9.4e-70	0.928	0.838	0.532	UniRef:UniRef50_A0A925TCM8
contig_1	cds	124043	125653	-	LNHIMF_00109	622.0	1.4e-218	0.989	0.909	0.628	UniRef:UniRef50_A0A8I1W5K3
contig_1	cds	125629	126612	-	LNHIMF_00110	431.0	1.8e-150	0.997	0.921	0.641	UniRef:UniRef50_A0A0U5LKV3
contig_1	ncRNA-region	126644	126743	-	-	68.5	5.5e-11	-	-	-	RFAM:RF00059
contig_1	cds	126790	128448	-	LNHIMF_00111	960.0	0.0	0.993	0.989	0.830	UniRef:UniRef50_A0A377KCN3
contig_1	ncRNA	128516	128754	+	LNHIMF_00112	198.1	4.1e-31	-	-	-	RFAM:RF00534
contig_1	cds	128541	128663	+	LNHIMF_00113	88.2	5.6e-24	1.0	0.816	1.0	UniRef:UniRef50_A0A0J1LLN9
contig_1	cds	128949	129554	-	LNHIMF_00114	239.0	1.0e-78	0.985	0.938	0.566	UniRef:UniRef50_Q9PLW2
contig_1	cds	129565	130965	-	LNHIMF_00115	881.0	0.0	1.0	0.813	0.955	UniRef:UniRef50_P0A6A6
contig_1	cds	130968	132059	-	LNHIMF_00116	516.0	1.1e-182	0.983	0.884	0.717	UniRef:UniRef50_P56933
contig_1	cds	132059	133630	-	LNHIMF_00117	838.0	1.6e-303	1.0	0.850	0.822	UniRef:UniRef50_P15875
contig_1	ncRNA-region	133671	133819	-	-	145.8	4.1e-25	-	-	-	RFAM:RF00512
contig_1	sorf	133719	133805	-	LNHIMF_00118	55.1	2.2e-16	1.036	1.0	0.966	UniRef:UniRef50_P03062
contig_1	cds	134462	135406	+	LNHIMF_00119	627.0	6.0e-228	1.0	0.897	0.997	UniRef:UniRef50_P46924
contig_1	cds	135728	137452	+	LNHIMF_00120	1061.0	0.0	1.0	0.891	0.920	UniRef:UniRef50_P00893
contig_1	cds	137452	137961	+	LNHIMF_00121	275.0	2.9e-94	0.964	0.937	0.883	UniRef:UniRef50_P00894
contig_1	cds	138228	139232	+	LNHIMF_00122	602.0	4.5e-218	1.0	0.994	0.898	UniRef:UniRef50_A1JJI2
contig_1	cds	139839	140297	+	LNHIMF_00123	264.0	2.2e-90	1.0	0.968	0.855	UniRef:UniRef50_C5B9E7
contig_1	cds	140299	141240	+	LNHIMF_00124	583.0	1.2e-210	1.0	0.902	0.958	UniRef:UniRef50_P60390
contig_1	cds	141237	141602	+	LNHIMF_00125	219.0	1.4e-73	0.950	0.852	0.974	UniRef:UniRef50_Q7CR84
contig_1	cds	141618	143384	+	LNHIMF_00126	1119.0	0.0	1.0	1.0	0.963	BlastRules:WP_000642196
contig_1	cds	143371	144858	+	LNHIMF_00127	649.0	1.2e-230	1.095	1.0	0.616	UniRef:UniRef50_Q8ZRU7
contig_1	cds	144855	146213	+	LNHIMF_00128	761.0	1.0e-275	0.993	0.824	0.875	UniRef:UniRef50_P11880
contig_1	cds	146207	147289	+	LNHIMF_00129	697.0	5.9e-254	0.994	0.880	0.978	UniRef:UniRef50_P0A6W3
contig_1	cds	147292	148608	+	LNHIMF_00130	813.0	1.4e-296	0.975	0.816	0.974	UniRef:UniRef50_Q8ZRU4
contig_1	cds	148608	149852	+	LNHIMF_00131	560.0	2.6e-198	0.911	0.838	0.740	UniRef:UniRef50_Q493Q2
contig_1	cds	149849	150916	+	LNHIMF_00132	566.0	3.5e-203	0.994	0.959	0.807	UniRef:UniRef50_Q8ZIE9
contig_1	cds	151035	152510	+	LNHIMF_00133	842.0	4.1e-307	1.0	0.926	0.862	UniRef:UniRef50_P17952
contig_1	cds	152503	153423	+	LNHIMF_00134	387.0	4.7e-133	1.225	1.0	0.571	UniRef:UniRef50_P07862
contig_1	cds	153425	154255	+	LNHIMF_00135	482.0	2.7e-171	1.279	1.0	0.737	UniRef:UniRef50_P06136
contig_1	cds	154252	155514	+	LNHIMF_00136	813.0	4.2e-298	1.0	0.938	0.988	UniRef:UniRef50_P0ABH0
contig_1	ncRNA	155494	155584	+	LNHIMF_00137	87.6	9.8e-14	-	-	-	RFAM:RF02797
contig_1	cds	155576	156727	+	LNHIMF_00138	439.0	2.4e-151	1.146	1.002	0.604	UniRef:UniRef50_Q9ZAW3
contig_1	cds	156828	157745	+	LNHIMF_00139	586.0	3.9e-212	1.141	1.0	0.871	UniRef:UniRef50_Q6LMG1
contig_1	cds	158024	158521	+	LNHIMF_00140	324.0	6.4e-116	1.0	1.0	0.994	BlastRules:WP_000014335
contig_1	cds	158583	161288	+	LNHIMF_00141	1190.0	0.0	0.984	0.838	0.683	UniRef:UniRef50_P10408
contig_1	ncRNA	161358	161425	+	LNHIMF_00142	59.9	3.9e-09	-	-	-	RFAM:RF02057
