# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	sorf	169	255	+	AJBGEP_00001		thr operon leader peptide	SO:0001217, UniRef:UniRef50_Q7CRA3
contig_1	ncRNA-region	191	311	+			Threonine operon leader	RFAM:RF00506, SO:0000140
contig_1	cds	337	2799	+	AJBGEP_00002		Bifunctional aspartokinase/homoserine dehydrogenase 1	SO:0001217, UniRef:UniRef50_P00561
contig_1	cds	2801	3730	+	AJBGEP_00003		Homoserine kinase	SO:0001217, UniRef:UniRef50_Q493S9
contig_1	cds	3734	5020	+	AJBGEP_00004		Threonine synthase	SO:0001217, UniRef:UniRef50_Q89AR5
contig_1	cds	5114	5887	-	AJBGEP_00005		UPF0246 protein GN242_17910	SO:0001217, UniRef:UniRef50_A0A6I6EGM8
contig_1	cds	5966	7396	-	AJBGEP_00006	yaaJ	Uncharacterized transporter YaaJ	SO:0001217, UniRef:UniRef50_P30143
contig_1	cds	7665	8618	+	AJBGEP_00007		transaldolase B	BlastRules:WP_000130175, SO:0001217, UniRef:UniRef50_P45055
contig_1	cds	8729	9319	+	AJBGEP_00008	mogA	Molybdenum cofactor biosynthesis protein MogA	SO:0001217, UniRef:UniRef50_A0A0A2Z689
contig_1	cds	9376	9942	-	AJBGEP_00009	yaaH	Inner membrane protein YaaH	SO:0001217, UniRef:UniRef50_A0A8S0G258
contig_1	cds	10092	10805	-	AJBGEP_00010	yaaW	UPF0174 protein YaaW	SO:0001217, UniRef:UniRef50_P58316
contig_1	cds	10841	11245	-	AJBGEP_00011		hypothetical protein	
contig_1	cds	11593	13509	+	AJBGEP_00012	dnaK	Chaperone protein DnaK	SO:0001217, UniRef:UniRef50_P43736
contig_1	ncRNA	13520	13594	+	AJBGEP_00013	tpke11	tpke11	RFAM:RF02031, SO:0000655
contig_1	cds	13595	14734	+	AJBGEP_00014	dnaJ	Chaperone protein DnaJ	SO:0001217, UniRef:UniRef50_A0A4R1HEE6
contig_1	cds	15014	15961	+	AJBGEP_00015		HTH lysR-type domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0L0AFF1
contig_1	cds	16088	16432	+	AJBGEP_00016		Phage holin family protein	SO:0001217, UniRef:UniRef50_A0A0H3FW56
contig_1	cds	16493	17026	-	AJBGEP_00017		hypothetical protein	PFAM:PF05838.17, PFAM:PF09374.15
contig_1	cds	17043	17486	-	AJBGEP_00018		Transcriptional regulator	SO:0001217, UniRef:UniRef50_Q8ZS10
contig_1	cds	17867	19966	+	AJBGEP_00019		chitinase	SO:0001217, UniRef:UniRef50_A0A0L0AFP7
contig_1	cds	20058	23054	+	AJBGEP_00020		Putative hydroxymethyltransferase	SO:0001217, UniRef:UniRef50_A0A3S4FS72
contig_1	cds	23335	24039	+	AJBGEP_00021	iprA	IprA winged helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_E3G2G5
contig_1	cds	24469	25011	+	AJBGEP_00022		Fimbrial-type adhesion domain-containing protein	SO:0001217, UniRef:UniRef50_A9MR69
contig_1	cds	25112	25798	+	AJBGEP_00023	bcfB	fimbrial biogenesis chaperone BcfB	BlastRules:WP_000742551, SO:0001217, UniRef:UniRef50_A9MR68
contig_1	cds	25803	28424	+	AJBGEP_00024	bcfC	fimbrial usher BcfC	BlastRules:WP_001245864, SO:0001217, UniRef:UniRef50_A0A5U2F4X5
contig_1	cds	28425	29432	+	AJBGEP_00025		Fimbrial-type adhesion domain-containing protein	SO:0001217, UniRef:UniRef50_A9MR66
contig_1	cds	29433	29978	+	AJBGEP_00026		Fimbrial-type adhesion domain-containing protein	SO:0001217, UniRef:UniRef50_A9MR65
contig_1	cds	29994	30512	+	AJBGEP_00027		hypothetical protein	PFAM:PF00419.26
contig_1	cds	30478	31209	+	AJBGEP_00028	bcfG	fimbrial chaperone BcfG	BlastRules:WP_001135039, SO:0001217, UniRef:UniRef50_A0A6D2GD24
contig_1	cds	31274	32119	+	AJBGEP_00029		Thioredoxin domain-containing protein	SO:0001217, UniRef:UniRef50_A0AAN3RST5
contig_1	cds	32158	32445	+	AJBGEP_00030		Type 1 fimbrial protein	SO:0001217, UniRef:UniRef50_A0A764GR16
contig_1	cds	32545	32994	-	AJBGEP_00031		OmpR/PhoB-type domain-containing protein	SO:0001217, UniRef:UniRef50_A9MR60
contig_1	cds	33364	34368	+	AJBGEP_00032		HTH lysR-type domain-containing protein	SO:0001217, UniRef:UniRef50_A9MR59
contig_1	cds	34376	34816	-	AJBGEP_00033		OmpR/PhoB-type domain-containing protein	SO:0001217, UniRef:UniRef50_A9MR58
contig_1	cds	35339	37057	+	AJBGEP_00034		Arylsulfotransferase N-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A9MR51
contig_1	cds	37103	38665	-	AJBGEP_00035		5'-Nucleotidase C-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A9MR56
contig_1	cds	38773	39534	-	AJBGEP_00036		Outer membrane/exported protein	SO:0001217, UniRef:UniRef50_A9MR55
contig_1	cds	40131	41624	+	AJBGEP_00037		Arylsulfatase	SO:0001217, UniRef:UniRef50_A0A237NMI4
contig_1	cds	41723	42913	+	AJBGEP_00038		Putative arylsulfatase regulatory protein	SO:0001217, UniRef:UniRef50_A0A084ZQX2
contig_1	cds	42938	44185	+	AJBGEP_00039		Cytoplasmic protein	SO:0001217, UniRef:UniRef50_A9MR52
contig_1	cds	44312	46027	+	AJBGEP_00040		Arylsulfotransferase N-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A9MR51
contig_1	cds	46190	47356	+	AJBGEP_00041	nhaA	Na(+)/H(+) antiporter NhaA	SO:0001217, UniRef:UniRef50_A8G9L0
contig_1	cds	47424	48317	+	AJBGEP_00042	nhaR	Transcriptional activator protein NhaR	SO:0001217, UniRef:UniRef50_P0A9G2
contig_1	cds	48372	50411	-	AJBGEP_00043		Uncharacterized family 31 glucosidase ORF2	SO:0001217, UniRef:UniRef50_Q01336
contig_1	cds	50451	51824	-	AJBGEP_00044		Major facilitator superfamily (MFS) profile domain-containing protein	SO:0001217, UniRef:UniRef50_A0A6C6YXS9
contig_1	cds	52319	52528	+	AJBGEP_00045		Lipoprotein	SO:0001217, UniRef:UniRef50_C5B7M1
contig_1	cds	52872	53810	+	AJBGEP_00046		Riboflavin biosynthesis protein	SO:0001217, UniRef:UniRef50_Q7N8X3
contig_1	cds	53855	56689	+	AJBGEP_00047		Isoleucine--tRNA ligase	SO:0001217, UniRef:UniRef50_Q8ZIM0
contig_1	cds	56689	57189	+	AJBGEP_00048		Lipoprotein signal peptidase	SO:0001217, UniRef:UniRef50_Q9KU46
contig_1	cds	57344	57793	+	AJBGEP_00049		Peptidyl-prolyl cis-trans isomerase	SO:0001217, UniRef:UniRef50_A0A376DLB2
contig_1	cds	57796	58746	+	AJBGEP_00050		4-hydroxy-3-methylbut-2-enyl diphosphate reductase	SO:0001217, UniRef:UniRef50_P62623
