# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	ncRNA	22	130	+	ODDLKH_00001	124.4	1.2e-21	-	-	-	RFAM:RF01830
contig_1	rRNA	138	3129	+	ODDLKH_00002	2862.7	5.6e-06	-	-	-	RFAM:RF02541
contig_1	rRNA	3326	3441	+	ODDLKH_00003	90.1	7.3e-15	-	-	-	RFAM:RF00001
contig_1	cds	3623	4651	+	ODDLKH_00004	448.0	2.4e-156	0.991	0.887	0.619	UniRef:UniRef50_Q6DAP0
contig_1	cds	4648	5610	+	ODDLKH_00005	558.0	9.8e-201	0.997	0.889	0.871	UniRef:UniRef50_P06709
contig_1	cds	5645	6571	-	ODDLKH_00006	433.0	3.5e-151	0.997	0.810	0.668	UniRef:UniRef50_P54556
contig_2	cds	109	537	+	ODDLKH_00007	191.0	1.8e-61	1.0	0.845	0.683	UniRef:UniRef50_P10055
contig_2	cds	541	1245	+	ODDLKH_00008	427.0	4.6e-152	1.051	1.0	0.951	UniRef:UniRef50_P0A7L0
contig_2	cds	1665	2162	+	ODDLKH_00009	243.0	7.8e-82	1.0	1.154	0.842	UniRef:UniRef50_A0A485B5U9
contig_2	cds	2229	2594	+	ODDLKH_00010	145.0	5.7e-44	0.959	0.835	0.802	UniRef:UniRef50_P0A7K2
contig_2	ncRNA	2599	2660	+	ODDLKH_00011	74.6	8.8e-15	-	-	-	RFAM:RF00630
contig_2	cds	2912	6940	+	ODDLKH_00012	1889.0	0.0	1.113	0.999	0.662	UniRef:UniRef50_P0A8V2
contig_2	cds	7017	11240	+	ODDLKH_00013	2269.0	0.0	0.977	0.961	0.837	UniRef:UniRef50_Q65W40
contig_2	cds	11327	11608	+	ODDLKH_00014	116.0	1.2e-33	1.0	1.0	0.677	UniRef:UniRef50_A0A657G0Q6
contig_2	cds	11610	11954	-	ODDLKH_00015	224.0	5.5e-76	1.0	1.0	0.939	UniRef:UniRef50_A0A0T9RQT6
contig_2	cds	11908	12045	-	ODDLKH_00016	-	-	-	-	-	-
contig_2	cds	12703	13836	-	ODDLKH_00017	509.0	3.5e-179	0.981	0.841	0.668	UniRef:UniRef50_A0A7T3X3R1
contig_2	cds	13833	14603	-	ODDLKH_00018	474.0	2.3e-172	1.0	1.0	0.977	BlastRules:WP_000944065
contig_2	cds	14605	14805	-	ODDLKH_00019	63.5	1.7e-13	1.0	0.930	0.500	UniRef:UniRef50_A0A0T9N4J8
contig_2	cds	14786	15544	-	ODDLKH_00020	266.0	3.7e-88	1.008	0.988	0.567	UniRef:UniRef50_A0A8S0FGV7
contig_2	cds	15537	16172	-	ODDLKH_00021	219.0	2.0e-70	0.929	0.820	0.577	UniRef:UniRef50_B5FF67
contig_2	cds	16172	18067	-	ODDLKH_00022	858.0	2.5e-309	0.990	0.959	0.661	UniRef:UniRef50_Q6G477
contig_2	cds	18431	18919	-	ODDLKH_00023	250.0	3.0e-84	1.198	1.021	0.711	UniRef:UniRef50_P0AFX4
contig_2	cds	19012	19785	+	ODDLKH_00024	450.0	4.2e-160	1.0	0.915	0.821	UniRef:UniRef50_P32664
contig_2	cds	19826	20890	+	ODDLKH_00025	496.0	4.3e-175	0.997	0.941	0.680	UniRef:UniRef50_A9KCZ5
contig_2	cds	20900	21571	+	ODDLKH_00026	387.0	6.4e-137	0.996	0.996	0.833	UniRef:UniRef50_I2BE02
contig_2	cds	21613	22203	+	ODDLKH_00027	266.0	7.0e-90	1.0	0.970	0.633	UniRef:UniRef50_A0A6L2ZL37
contig_2	cds	22390	22662	+	ODDLKH_00028	97.1	7.2e-26	1.0	0.818	0.567	UniRef:UniRef50_A0A090ASH9
contig_2	cds	22674	23366	+	ODDLKH_00029	325.0	5.4e-112	1.052	1.0	0.669	UniRef:UniRef50_P32681
contig_2	cds	23408	23863	-	ODDLKH_00030	166.0	8.5e-52	0.881	0.869	0.654	UniRef:UniRef50_A0A484Y856
contig_2	cds	23928	25514	+	ODDLKH_00031	999.0	0.0	1.0	0.953	0.983	UniRef:UniRef50_P14377
contig_2	cds	25520	26845	+	ODDLKH_00032	591.0	2.3e-211	1.0	1.205	0.735	UniRef:UniRef50_A0A3S4KDD1
contig_2	cds	26842	28131	-	ODDLKH_00033	825.0	3.9e-302	1.121	1.0	0.881	UniRef:UniRef50_P15640
contig_2	cds	28143	29732	-	ODDLKH_00034	929.0	0.0	1.0	0.860	0.888	UniRef:UniRef50_P15639
contig_2	rRNA	30358	31899	+	ODDLKH_00035	1579.1	7.0e-48	-	-	-	RFAM:RF00177
contig_2	tRNA	31985	32060	+	ODDLKH_00036	66.6	-	-	-	-	-
contig_2	ncRNA	32138	32246	+	ODDLKH_00037	124.4	1.2e-21	-	-	-	RFAM:RF01830
contig_2	rRNA	32254	35243	+	ODDLKH_00038	2872.5	5.3e-06	-	-	-	RFAM:RF02541
contig_2	rRNA	35337	35452	+	ODDLKH_00039	90.1	7.3e-15	-	-	-	RFAM:RF00001
contig_2	cds	35785	36222	-	ODDLKH_00040	194.0	1.1e-62	0.966	0.800	0.686	UniRef:UniRef50_P09163
contig_2	cds	36379	37308	+	ODDLKH_00041	386.0	5.7e-133	1.094	0.977	0.553	UniRef:UniRef50_Q9KRM5
contig_2	cds	37577	39178	+	ODDLKH_00042	872.0	1.1e-317	0.981	0.906	0.816	UniRef:UniRef50_A0A0M0I003
contig_2	cds	39210	40514	+	ODDLKH_00043	636.0	1.3e-227	0.998	0.919	0.721	UniRef:UniRef50_B6BQ52
contig_2	cds	40616	42367	+	ODDLKH_00044	1094.0	0.0	0.985	0.898	0.927	UniRef:UniRef50_P51067
contig_2	cds	42331	42765	-	ODDLKH_00045	140.0	1.0e-41	0.875	0.818	0.532	UniRef:UniRef50_Q6DAK1
contig_2	cds	42749	43573	-	ODDLKH_00046	535.0	4.8e-193	0.993	0.855	1.0	UniRef:UniRef50_P16528
contig_2	cds	43878	47561	+	ODDLKH_00047	2294.0	0.0	1.087	1.0	0.879	UniRef:UniRef50_P13009
contig_2	cds	47828	49459	+	ODDLKH_00048	585.0	1.1e-203	0.982	0.864	0.610	UniRef:UniRef50_P0AF43
contig_2	cds	49549	50238	-	ODDLKH_00049	456.0	1.9e-163	0.996	0.860	0.987	UniRef:UniRef50_P36936
contig_2	cds	50446	50985	+	ODDLKH_00050	261.0	4.3e-88	1.0	0.856	0.810	UniRef:UniRef50_A0A0U5GKZ0
contig_2	cds	51032	51901	+	ODDLKH_00051	440.0	3.9e-155	1.003	0.906	0.779	UniRef:UniRef50_Q8ZKL1
contig_2	cds	51898	52170	-	ODDLKH_00052	128.0	1.4e-38	1.022	1.0	0.783	UniRef:UniRef50_A0A389MF16
contig_2	cds	52268	53209	-	ODDLKH_00053	586.0	1.2e-214	1.0	1.0	0.997	BlastRules:WP_000881652
contig_2	cds	53471	54199	-	ODDLKH_00054	336.0	1.9e-115	0.975	0.868	0.644	UniRef:UniRef50_B7LKX4
contig_2	cds	54778	55254	-	ODDLKH_00055	273.0	1.4e-93	0.987	0.975	0.904	UniRef:UniRef50_A0A447TQ20
contig_2	cds	55575	56030	-	ODDLKH_00056	-	-	-	-	-	-
contig_2	cds	56027	56641	-	ODDLKH_00057	223.0	1.6e-72	0.990	0.935	0.550	UniRef:UniRef50_A0A636VKE2
contig_2	cds	56648	58306	-	ODDLKH_00058	805.0	3.3e-291	1.005	1.0	0.768	UniRef:UniRef50_A0A6C8Y9W3
contig_2	cds	58309	58941	-	ODDLKH_00059	301.0	7.2e-103	0.943	0.811	0.753	UniRef:UniRef50_Q8ZKK4
contig_2	cds	58934	60049	-	ODDLKH_00060	-	-	-	-	-	-
contig_2	cds	60040	60399	-	ODDLKH_00061	146.0	6.2e-45	0.908	0.939	0.639	UniRef:UniRef50_A0A6P2SE40
contig_2	cds	60460	60582	+	ODDLKH_00062	80.5	5.3e-21	1.0	1.0	1.0	UniRef:UniRef50_B5F1L8
contig_2	cds	60563	62110	-	ODDLKH_00063	627.0	4.0e-222	0.981	0.986	0.588	UniRef:UniRef50_A0A7H0MG07
contig_2	cds	62110	63039	-	ODDLKH_00064	451.0	1.8e-158	0.981	0.868	0.703	UniRef:UniRef50_A0A2H2Z5B5
contig_2	cds	63726	64448	-	ODDLKH_00065	281.0	2.9e-94	1.029	1.0	0.818	UniRef:UniRef50_A0A482IM78
contig_2	cds	64458	65501	-	ODDLKH_00066	376.0	6.1e-128	0.980	0.876	0.571	UniRef:UniRef50_A0A4R3VQD7
contig_2	cds	65489	65698	-	ODDLKH_00067	87.0	1.2e-22	0.942	0.812	0.600	UniRef:UniRef50_A0A0C5E3Z1
contig_2	cds	65698	66651	-	ODDLKH_00068	558.0	1.9e-201	1.0	1.0	0.943	UniRef:UniRef50_Q8ZKJ5
contig_2	cds	66651	69005	-	ODDLKH_00069	1347.0	0.0	1.014	1.0	0.951	UniRef:UniRef50_A0A376VPW4
contig_2	cds	69190	69507	-	ODDLKH_00070	145.0	1.1e-44	0.990	0.972	0.721	UniRef:UniRef50_A0A379QRV4
contig_2	cds	69559	70083	-	ODDLKH_00071	339.0	3.3e-119	1.0	0.906	0.943	UniRef:UniRef50_U3U8B9
contig_2	cds	70083	71510	-	ODDLKH_00072	521.0	1.5e-181	0.998	0.992	0.561	UniRef:UniRef50_U3U6A9
contig_2	cds	71500	71697	-	ODDLKH_00073	117.0	8.7e-35	1.0	1.0	0.831	UniRef:UniRef50_A0A9X0Q0W5
contig_2	cds	71694	72149	-	ODDLKH_00074	299.0	7.3e-104	1.0	0.863	1.0	UniRef:UniRef50_B7LKZ1
contig_2	cds	72309	72623	-	ODDLKH_00075	179.0	5.7e-58	1.0	0.889	0.894	UniRef:UniRef50_A0A9X0PZZ0
contig_2	cds	72636	73208	-	ODDLKH_00076	404.0	5.4e-144	1.0	0.837	1.0	UniRef:UniRef50_Q8ZKI8
contig_2	cds	73244	73531	-	ODDLKH_00077	99.4	1.7e-26	1.084	0.817	0.544	UniRef:UniRef50_A0A5Y3MJA4
contig_2	cds	74107	74454	+	ODDLKH_00078	197.0	3.7e-65	0.939	0.878	0.935	UniRef:UniRef50_A0A1X0YKA7
contig_2	cds	74587	75936	-	ODDLKH_00079	696.0	8.7e-253	0.829	0.992	0.992	UniRef:UniRef50_A0A379U5H8
contig_2	cds	76281	77930	+	ODDLKH_00080	788.0	1.3e-282	1.0	0.832	0.699	UniRef:UniRef50_O25781
contig_2	ncRNA	78017	78178	-	ODDLKH_00081	167.9	3.0e-26	-	-	-	RFAM:RF02053
contig_2	cds	78371	78616	+	ODDLKH_00082	-	-	-	-	-	-
contig_2	cds	78680	79318	+	ODDLKH_00083	348.0	2.0e-121	0.906	0.828	0.865	UniRef:UniRef50_P32687
contig_2	cds	79315	80052	+	ODDLKH_00084	359.0	7.7e-125	1.0	0.939	0.735	UniRef:UniRef50_P32688
contig_2	cds	80052	82148	+	ODDLKH_00085	818.0	1.3e-291	1.010	1.0	0.574	UniRef:UniRef50_B2VKA7
contig_2	cds	82291	82701	+	ODDLKH_00086	221.0	2.5e-73	1.0	0.824	0.853	UniRef:UniRef50_P0A7C8
contig_2	cds	82867	83757	-	ODDLKH_00087	500.0	6.9e-179	0.912	0.891	0.933	UniRef:UniRef50_A0A845SKQ7
contig_2	cds	83772	85316	-	ODDLKH_00088	599.0	1.8e-210	0.988	0.922	0.600	UniRef:UniRef50_A0A379YFR7
contig_2	cds	85448	86638	-	ODDLKH_00089	758.0	1.5e-276	1.0	0.828	0.944	UniRef:UniRef50_P19576
contig_2	cds	87000	88109	+	ODDLKH_00090	622.0	1.5e-223	1.0	0.818	0.827	UniRef:UniRef50_P68187
contig_2	cds	88198	89556	+	ODDLKH_00091	532.0	2.3e-187	1.002	1.105	0.585	UniRef:UniRef50_A0A2P7RBI5
contig_2	cds	89720	90637	+	ODDLKH_00092	520.0	4.5e-186	0.997	0.921	0.908	UniRef:UniRef50_P03841
contig_2	cds	90818	91315	+	ODDLKH_00093	267.0	9.2e-91	1.0	0.829	0.812	UniRef:UniRef50_A0A0F0VL15
contig_2	cds	91329	92201	+	ODDLKH_00094	352.0	4.6e-120	0.976	0.840	0.629	UniRef:UniRef50_Q15ZT9
contig_2	cds	92300	94720	-	ODDLKH_00095	1528.0	0.0	1.0	0.975	0.949	UniRef:UniRef50_P0A7A7
contig_2	cds	94891	95259	+	ODDLKH_00096	187.0	1.5e-60	1.0	0.878	0.754	UniRef:UniRef50_Q7CPB3
contig_2	cds	95368	95976	+	ODDLKH_00097	266.0	1.3e-89	0.970	0.966	0.694	UniRef:UniRef50_Q6D9I5
contig_2	cds	96155	97480	+	ODDLKH_00098	714.0	4.1e-258	0.889	0.820	0.990	UniRef:UniRef50_P28303
contig_2	cds	97462	97590	+	ODDLKH_00099	-	-	-	-	-	-
contig_2	cds	97609	97821	+	ODDLKH_00100	111.0	2.1e-32	0.914	0.970	0.859	UniRef:UniRef50_A0A485BC09
contig_2	cds	97920	98435	-	ODDLKH_00101	210.0	1.8e-68	0.942	0.920	0.621	UniRef:UniRef50_C9Y1F8
contig_2	cds	98682	99992	+	ODDLKH_00102	831.0	5.7e-305	1.030	1.0	0.969	UniRef:UniRef50_L0MBG7
contig_2	cds	100080	101078	+	ODDLKH_00103	621.0	5.3e-225	1.006	0.877	0.907	UniRef:UniRef50_P32695
contig_2	cds	101246	101488	+	ODDLKH_00104	115.0	1.3e-33	1.0	0.800	0.775	UniRef:UniRef50_B2VKD5
contig_2	cds	101662	102645	-	ODDLKH_00105	468.0	1.9e-164	1.0	0.849	0.728	UniRef:UniRef50_P28304
contig_2	cds	102710	104125	+	ODDLKH_00106	850.0	6.6e-311	1.0	0.933	0.926	UniRef:UniRef50_P0ACB0
contig_2	cds	104157	105236	+	ODDLKH_00107	615.0	1.1e-221	0.955	0.864	0.889	UniRef:UniRef50_P0A6B4
contig_2	cds	105422	106615	+	ODDLKH_00108	782.0	3.0e-289	1.0	1.0	0.987	BlastRules:WP_000486903
contig_2	cds	106802	107515	+	ODDLKH_00109	436.0	5.0e-155	1.0	0.826	0.886	UniRef:UniRef50_Q59544
contig_2	cds	107644	108060	+	ODDLKH_00110	181.0	1.4e-57	1.007	0.832	0.619	UniRef:UniRef50_A0A2K4X6A9
contig_2	cds	108063	108419	+	ODDLKH_00111	216.0	2.6e-72	1.0	0.901	0.924	UniRef:UniRef50_P0AF50
