# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	sorf	169	255	+	BEJGEH_00001	58.5	9.1e-18	1.0	1.0	1.0	UniRef:UniRef50_Q7CRA3
contig_1	ncRNA-region	191	311	+	-	126.4	1.6e-22	-	-	-	RFAM:RF00506
contig_1	cds	337	2799	+	BEJGEH_00002	1282.0	0.0	1.123	1.0	0.740	UniRef:UniRef50_P00561
contig_1	cds	2801	3730	+	BEJGEH_00003	382.0	6.0e-132	1.0	0.987	0.573	UniRef:UniRef50_Q493S9
contig_1	cds	3734	5020	+	BEJGEH_00004	507.0	4.0e-177	1.051	1.0	0.589	UniRef:UniRef50_Q89AR5
contig_1	cds	5113	5886	-	BEJGEH_00005	368.0	3.5e-128	0.996	0.992	0.738	UniRef:UniRef50_A0A6I6EGM8
contig_1	cds	5965	7395	-	BEJGEH_00006	724.0	4.9e-261	1.0	0.924	0.765	UniRef:UniRef50_P30143
contig_1	cds	7664	8617	+	BEJGEH_00007	619.0	2.5e-227	1.0	1.0	1.0	BlastRules:WP_000130175
contig_1	cds	8728	9318	+	BEJGEH_00008	250.0	1.4e-83	0.974	0.970	0.670	UniRef:UniRef50_A0A0A2Z689
contig_1	cds	9375	9941	-	BEJGEH_00009	206.0	1.4e-66	0.920	1.006	0.699	UniRef:UniRef50_A0A8S0G258
contig_1	cds	10091	10804	-	BEJGEH_00010	447.0	1.0e-159	0.992	0.904	1.0	UniRef:UniRef50_P58316
contig_1	cds	10840	11244	-	BEJGEH_00011	-	-	-	-	-	-
contig_1	cds	11593	13509	+	BEJGEH_00012	1046.0	0.0	1.158	1.004	0.788	UniRef:UniRef50_P43736
contig_1	ncRNA	13520	13594	+	BEJGEH_00013	84.0	1.9e-16	-	-	-	RFAM:RF02031
contig_1	cds	13595	14734	+	BEJGEH_00014	452.0	2.3e-157	1.005	0.967	0.646	UniRef:UniRef50_A0A4R1HEE6
contig_1	cds	14681	14821	-	BEJGEH_00015	-	-	-	-	-	-
contig_1	cds	15015	15962	+	BEJGEH_00016	608.0	5.7e-221	1.0	0.960	0.997	UniRef:UniRef50_A0A0L0AFF1
contig_1	cds	16089	16433	+	BEJGEH_00017	203.0	1.9e-67	0.939	0.863	0.991	UniRef:UniRef50_A0A0H3FW56
contig_1	cds	16494	17027	-	BEJGEH_00018	-	-	-	-	-	-
contig_1	cds	17044	17487	-	BEJGEH_00019	283.0	1.1e-97	0.993	0.885	1.0	UniRef:UniRef50_Q8ZS10
contig_1	cds	17868	19967	+	BEJGEH_00020	702.0	3.2e-245	1.080	1.029	0.518	UniRef:UniRef50_A0A0L0AFP7
contig_1	cds	20060	23056	+	BEJGEH_00021	1612.0	0.0	0.812	1.0	0.990	UniRef:UniRef50_A0A3S4FS72
contig_1	cds	23337	24041	+	BEJGEH_00022	436.0	3.5e-155	1.158	1.0	0.838	UniRef:UniRef50_E3G2G5
contig_1	cds	24471	25013	+	BEJGEH_00023	318.0	1.6e-110	1.078	1.0	0.923	UniRef:UniRef50_A9MR69
contig_1	cds	25114	25800	+	BEJGEH_00024	435.0	9.5e-158	1.0	1.0	1.0	BlastRules:WP_000742551
contig_1	cds	25805	28426	+	BEJGEH_00025	1732.0	0.0	1.0	1.0	0.994	BlastRules:WP_001245864
contig_1	cds	28427	29434	+	BEJGEH_00026	649.0	2.2e-236	1.024	1.0	0.971	UniRef:UniRef50_A9MR66
contig_1	cds	29435	29980	+	BEJGEH_00027	358.0	1.3e-126	1.044	1.0	0.958	UniRef:UniRef50_A9MR65
contig_1	cds	29996	30514	+	BEJGEH_00028	-	-	-	-	-	-
contig_1	cds	30480	31211	+	BEJGEH_00029	503.0	4.4e-184	1.0	1.0	0.984	BlastRules:WP_001135039
contig_1	cds	31276	32121	+	BEJGEH_00030	306.0	2.1e-102	0.954	0.867	0.619	UniRef:UniRef50_A0AAN3RST5
contig_1	cds	32160	32447	+	BEJGEH_00031	186.0	2.3e-61	0.958	0.883	1.0	UniRef:UniRef50_A0A764GR16
contig_1	cds	32547	32996	-	BEJGEH_00032	253.0	5.6e-86	0.966	0.960	0.889	UniRef:UniRef50_A9MR60
contig_1	cds	33366	34370	+	BEJGEH_00033	633.0	4.0e-230	0.988	0.957	0.970	UniRef:UniRef50_A9MR59
contig_1	cds	34378	34815	-	BEJGEH_00034	256.0	2.8e-87	1.097	1.0	0.881	UniRef:UniRef50_A9MR58
contig_1	cds	35338	37056	+	BEJGEH_00035	692.0	1.3e-245	1.021	0.986	0.577	UniRef:UniRef50_A9MR51
contig_1	cds	37102	38664	-	BEJGEH_00036	984.0	0.0	1.0	0.979	1.0	UniRef:UniRef50_A9MR56
contig_1	cds	38772	39533	-	BEJGEH_00037	320.0	5.0e-109	0.984	0.883	0.598	UniRef:UniRef50_A9MR55
contig_1	cds	40128	41621	+	BEJGEH_00038	898.0	0.0	0.976	0.945	0.880	UniRef:UniRef50_A0A237NMI4
contig_1	cds	41720	42910	+	BEJGEH_00039	478.0	3.2e-166	0.987	0.844	0.565	UniRef:UniRef50_A0A084ZQX2
contig_1	cds	42935	44182	+	BEJGEH_00040	581.0	7.0e-207	0.990	0.943	0.669	UniRef:UniRef50_A9MR52
contig_1	cds	44309	46024	+	BEJGEH_00041	1138.0	0.0	1.021	0.985	0.966	UniRef:UniRef50_A9MR51
contig_1	cds	46187	47353	+	BEJGEH_00042	462.0	2.9e-160	0.982	0.858	0.635	UniRef:UniRef50_A8G9L0
contig_1	cds	47421	48314	+	BEJGEH_00043	485.0	1.0e-172	0.990	0.899	0.796	UniRef:UniRef50_P0A9G2
contig_1	cds	48369	50408	-	BEJGEH_00044	1367.0	0.0	1.0	0.963	0.935	UniRef:UniRef50_Q01336
contig_1	cds	50448	51821	-	BEJGEH_00045	564.0	9.0e-199	0.989	0.956	0.606	UniRef:UniRef50_A0A6C6YXS9
contig_1	cds	52316	52525	+	BEJGEH_00046	142.0	1.4e-44	1.0	1.0	1.0	UniRef:UniRef50_C5B7M1
contig_1	cds	52869	53807	+	BEJGEH_00047	415.0	4.9e-144	0.981	0.816	0.680	UniRef:UniRef50_Q7N8X3
contig_1	cds	53852	56686	+	BEJGEH_00048	1377.0	0.0	1.001	0.970	0.704	UniRef:UniRef50_Q8ZIM0
contig_1	cds	56686	57186	+	BEJGEH_00049	263.0	3.8e-89	0.952	0.814	0.797	UniRef:UniRef50_Q9KU46
contig_1	cds	57341	57790	+	BEJGEH_00050	168.0	2.0e-52	0.960	0.935	0.573	UniRef:UniRef50_A0A376DLB2
contig_1	cds	57793	58743	+	BEJGEH_00051	419.0	2.5e-145	0.984	0.829	0.678	UniRef:UniRef50_P62623
contig_1	ncRNA	58789	58920	+	BEJGEH_00052	169.7	1.3e-30	-	-	-	RFAM:RF02048
contig_1	cds	58943	60145	+	BEJGEH_00053	824.0	1.1e-303	1.0	0.983	0.975	UniRef:UniRef50_M7RH86
contig_1	cds	60161	61081	+	BEJGEH_00054	486.0	6.3e-173	0.987	0.910	0.798	UniRef:UniRef50_P22564
contig_1	cds	61103	61789	-	BEJGEH_00055	382.0	2.8e-134	0.996	0.946	0.841	UniRef:UniRef50_P52688
contig_1	cds	61791	63449	-	BEJGEH_00056	904.0	0.0	0.976	0.942	0.857	UniRef:UniRef50_P52687
contig_1	cds	63545	64846	-	BEJGEH_00057	784.0	6.9e-286	1.0	0.880	0.982	UniRef:UniRef50_P13156
contig_1	cds	64862	66628	-	BEJGEH_00058	1025.0	0.0	1.189	1.004	0.813	UniRef:UniRef50_A0A379XLB9
contig_1	cds	66644	66883	-	BEJGEH_00059	115.0	6.8e-34	0.987	0.975	0.821	UniRef:UniRef50_A0A379UMS0
contig_1	cds	67042	68382	-	BEJGEH_00060	841.0	6.7e-311	1.0	1.0	0.998	BlastRules:WP_000183602
contig_1	cds	68702	69670	+	BEJGEH_00061	577.0	1.4e-208	0.904	0.874	0.990	UniRef:UniRef50_A0A379WFG3
contig_1	cds	69700	69993	+	BEJGEH_00062	111.0	1.1e-31	0.979	0.969	0.600	UniRef:UniRef50_B7LVP5
contig_1	cds	69990	70859	+	BEJGEH_00063	393.0	5.0e-136	0.993	0.827	0.707	UniRef:UniRef50_P17725
contig_1	cds	70870	72390	+	BEJGEH_00064	653.0	2.9e-232	0.964	0.914	0.682	UniRef:UniRef50_P75726
contig_1	cds	72390	72941	+	BEJGEH_00065	216.0	2.1e-70	0.956	0.888	0.606	UniRef:UniRef50_B7LWL8
contig_1	cds	72919	73827	+	BEJGEH_00066	416.0	4.4e-145	0.977	0.850	0.702	UniRef:UniRef50_B7LWM0
contig_1	cds	74007	74828	+	BEJGEH_00067	355.0	4.5e-122	0.971	0.849	0.683	UniRef:UniRef50_Q2NVY2
contig_1	ncRNA-region	74834	74911	+	-	99.7	2.2e-16	-	-	-	RFAM:RF02551
contig_1	cds	74949	75083	-	BEJGEH_00068	96.7	3.0e-27	1.0	0.880	1.0	UniRef:UniRef50_M7RZ83
contig_1	cds	75692	76840	+	BEJGEH_00069	654.0	6.0e-236	1.183	1.0	0.741	UniRef:UniRef50_P0A6F1
contig_1	cds	76859	80086	+	BEJGEH_00070	2053.0	0.0	0.999	0.824	0.979	UniRef:UniRef50_P00968
contig_1	cds	80360	80755	+	BEJGEH_00071	-	-	-	-	-	-
contig_1	cds	80832	81428	-	BEJGEH_00072	290.0	5.5e-99	1.0	0.892	0.732	UniRef:UniRef50_A0A376W173
contig_1	cds	81538	82323	-	BEJGEH_00073	477.0	2.1e-170	0.981	0.828	0.941	UniRef:UniRef50_P31551
contig_1	cds	82377	83930	-	BEJGEH_00074	605.0	1.1e-212	1.002	0.940	0.577	UniRef:UniRef50_P31552
contig_1	cds	83993	85210	-	BEJGEH_00075	832.0	6.0e-306	1.0	0.918	0.983	UniRef:UniRef50_P31572
contig_1	cds	85322	86464	-	BEJGEH_00076	759.0	1.0e-278	1.029	1.0	0.972	UniRef:UniRef50_P60584
contig_1	cds	86499	88016	-	BEJGEH_00077	773.0	3.0e-279	0.976	0.890	0.742	UniRef:UniRef50_P31553
contig_1	cds	88497	89267	+	BEJGEH_00078	404.0	3.4e-142	1.0	0.921	0.820	UniRef:UniRef50_A0A2X4TIQ2
contig_1	cds	89283	90224	+	BEJGEH_00079	548.0	4.1e-197	1.102	1.0	0.838	UniRef:UniRef50_P31574
contig_1	cds	90274	91560	+	BEJGEH_00080	513.0	7.9e-180	1.035	1.002	0.607	UniRef:UniRef50_A0A6A8QPB3
contig_1	cds	91557	91844	+	BEJGEH_00081	187.0	8.6e-62	1.116	1.0	0.858	UniRef:UniRef50_A0A120M097
contig_1	ncRNA	91869	91951	-	BEJGEH_00082	63.2	6.8e-09	-	-	-	RFAM:RF02564
contig_1	cds	91991	93331	+	BEJGEH_00083	888.0	0.0	1.0	0.809	1.0	UniRef:UniRef50_P31679
contig_1	cds	93420	93650	+	BEJGEH_00084	72.4	9.2e-17	0.921	0.909	0.571	UniRef:UniRef50_A0A0J8YCG2
contig_1	cds	93936	94358	+	BEJGEH_00085	-	-	-	-	-	-
contig_1	ncRNA	94359	94581	+	BEJGEH_00086	261.7	7.7e-40	-	-	-	RFAM:RF02050
