# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	sorf	169	255	+	GEGEGB_00001	58.5	9.1e-18	1.0	1.0	1.0	UniRef:UniRef50_Q7CRA3
contig_1	ncRNA-region	191	311	+	-	126.4	1.6e-22	-	-	-	RFAM:RF00506
contig_1	cds	337	2799	+	GEGEGB_00002	1283.0	0.0	1.123	1.0	0.740	UniRef:UniRef50_P00561
contig_1	cds	2801	3730	+	GEGEGB_00003	382.0	6.0e-132	1.0	0.987	0.573	UniRef:UniRef50_Q493S9
contig_1	cds	3734	5020	+	GEGEGB_00004	508.0	2.0e-177	1.051	1.0	0.589	UniRef:UniRef50_Q89AR5
contig_1	cds	5114	5887	-	GEGEGB_00005	368.0	3.5e-128	0.996	0.992	0.738	UniRef:UniRef50_A0A6I6EGM8
contig_1	cds	5966	7396	-	GEGEGB_00006	726.0	1.2e-261	1.0	0.924	0.767	UniRef:UniRef50_P30143
contig_1	cds	7665	8618	+	GEGEGB_00007	619.0	2.5e-227	1.0	1.0	1.0	BlastRules:WP_000130175
contig_1	cds	8729	9319	+	GEGEGB_00008	249.0	2.9e-83	0.974	0.970	0.665	UniRef:UniRef50_A0A0A2Z689
contig_1	cds	9376	9942	-	GEGEGB_00009	204.0	5.8e-66	0.920	1.006	0.694	UniRef:UniRef50_A0A8S0G258
contig_1	cds	10092	10805	-	GEGEGB_00010	447.0	1.0e-159	0.992	0.904	1.0	UniRef:UniRef50_P58316
contig_1	cds	10841	11245	-	GEGEGB_00011	-	-	-	-	-	-
contig_1	cds	11594	13510	+	GEGEGB_00012	1046.0	0.0	1.158	1.004	0.788	UniRef:UniRef50_P43736
contig_1	ncRNA	13521	13595	+	GEGEGB_00013	84.0	1.9e-16	-	-	-	RFAM:RF02031
contig_1	cds	13596	14735	+	GEGEGB_00014	452.0	2.3e-157	1.005	0.967	0.646	UniRef:UniRef50_A0A4R1HEE6
contig_1	cds	15020	15967	+	GEGEGB_00015	606.0	4.7e-220	1.0	0.960	0.994	UniRef:UniRef50_A0A0L0AFF1
contig_1	cds	16094	16438	+	GEGEGB_00016	203.0	1.9e-67	0.939	0.863	0.991	UniRef:UniRef50_A0A0H3FW56
contig_1	cds	16499	17032	-	GEGEGB_00017	-	-	-	-	-	-
contig_1	cds	17049	17492	-	GEGEGB_00018	283.0	1.1e-97	0.993	0.885	1.0	UniRef:UniRef50_Q8ZS10
contig_1	cds	17873	19972	+	GEGEGB_00019	699.0	2.6e-244	1.080	1.029	0.522	UniRef:UniRef50_A0A0L0AFP7
contig_1	cds	20064	21155	+	GEGEGB_00020	-	-	-	-	-	-
contig_1	cds	21198	23060	+	GEGEGB_00021	-	-	-	-	-	-
contig_1	cds	23341	24045	+	GEGEGB_00022	422.0	1.1e-149	1.158	1.0	0.808	UniRef:UniRef50_E3G2G5
contig_1	cds	24473	25015	+	GEGEGB_00023	316.0	6.4e-110	1.078	1.0	0.918	UniRef:UniRef50_A9MR69
contig_1	cds	25116	25802	+	GEGEGB_00024	433.0	7.8e-157	1.0	1.0	0.987	BlastRules:WP_000742551
contig_1	cds	25807	26727	+	GEGEGB_00025	-	-	-	-	-	-
contig_1	cds	26728	27759	+	GEGEGB_00026	-	-	-	-	-	-
contig_1	cds	27874	28428	+	GEGEGB_00027	-	-	-	-	-	-
contig_1	cds	28429	29436	+	GEGEGB_00028	644.0	1.0e-234	1.024	1.0	0.962	UniRef:UniRef50_A9MR66
contig_1	cds	29437	29982	+	GEGEGB_00029	354.0	4.5e-125	1.044	1.0	0.942	UniRef:UniRef50_A9MR65
contig_1	cds	29998	30516	+	GEGEGB_00030	-	-	-	-	-	-
contig_1	cds	30482	31213	+	GEGEGB_00031	496.0	2.5e-181	1.0	1.0	0.971	BlastRules:WP_001135039
contig_1	cds	31278	32123	+	GEGEGB_00032	306.0	2.1e-102	0.954	0.867	0.619	UniRef:UniRef50_A0AAN3RST5
contig_1	cds	32162	32449	+	GEGEGB_00033	184.0	1.9e-60	0.958	0.883	0.989	UniRef:UniRef50_A0A764GR16
contig_1	cds	32549	32998	-	GEGEGB_00034	255.0	6.9e-87	0.966	0.960	0.896	UniRef:UniRef50_A9MR60
contig_1	cds	33368	34363	+	GEGEGB_00035	627.0	4.9e-228	0.988	0.948	0.966	UniRef:UniRef50_A9MR59
contig_1	cds	34511	34816	-	GEGEGB_00036	-	-	-	-	-	-
contig_1	cds	35339	37057	+	GEGEGB_00037	693.0	6.4e-246	1.021	0.986	0.577	UniRef:UniRef50_A9MR51
contig_1	cds	37103	38665	-	GEGEGB_00038	984.0	0.0	1.0	0.979	1.0	UniRef:UniRef50_A9MR56
contig_1	cds	38773	39534	-	GEGEGB_00039	318.0	5.7e-108	0.984	0.883	0.594	UniRef:UniRef50_A9MR55
contig_1	cds	40128	41621	+	GEGEGB_00040	894.0	0.0	0.976	0.945	0.878	UniRef:UniRef50_A0A237NMI4
contig_1	cds	41720	42910	+	GEGEGB_00041	478.0	3.2e-166	0.987	0.844	0.563	UniRef:UniRef50_A0A084ZQX2
contig_1	cds	43198	44181	+	GEGEGB_00042	661.0	8.2e-242	1.0	1.0	1.0	UniRef:UniRef50_Q8Z9N7
contig_1	cds	44308	46023	+	GEGEGB_00043	1136.0	0.0	1.021	0.985	0.964	UniRef:UniRef50_A9MR51
contig_1	cds	46186	47352	+	GEGEGB_00044	462.0	4.1e-160	0.982	0.858	0.633	UniRef:UniRef50_A8G9L0
contig_1	cds	47420	48313	+	GEGEGB_00045	485.0	1.0e-172	0.990	0.899	0.796	UniRef:UniRef50_P0A9G2
contig_1	cds	48368	50407	-	GEGEGB_00046	1368.0	0.0	1.0	0.963	0.937	UniRef:UniRef50_Q01336
