#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	132	326	-	ONMMKP_00001	7.3	4.4	PF01815.21|Rop	PFAM:PF01815.21
contig_1	1877	2011	-	ONMMKP_00004	5.0	8.2		
contig_2	3100	3984	-	ONMMKP_00010	32.9	5.8	PF00009.33|GTP_EFTU, PF00350.29|Dynamin_N, PF04548.22|AIG1, PF04670.18|Gtr1_RagA	PFAM:PF00009.33, PFAM:PF00350.29, PFAM:PF04548.22, PFAM:PF04670.18
contig_3	653	1642	+	ONMMKP_00015	35.2	4.9		
contig_3	1642	2229	+	ONMMKP_00016	22.0	4.7		
contig_4	37	510	-	ONMMKP_00019	16.6	4.6		
contig_4	1024	1197	-	ONMMKP_00020	6.6	4.9		
contig_4	6879	7352	-	ONMMKP_00025	16.6	4.6		
contig_4	19986	20171	+	ONMMKP_00042	7.0	5.8		
contig_4	28833	30056	-	ONMMKP_00056	42.0	4.9	PF02120.21|Flg_hook	PFAM:PF02120.21
contig_4	40191	40559	-	ONMMKP_00067	13.7	5.1		
contig_4	40981	42384	-	ONMMKP_00069	49.8	5.3	PF07196.18|Flagellin_IN	PFAM:PF07196.18
contig_4	56007	56291	+	ONMMKP_00086	10.6	5.2		
contig_4	59462	60730	-	ONMMKP_00091	44.8	9.6	PF01490.24|Aa_trans	PFAM:PF01490.24
contig_4	79361	79555	-	ONMMKP_00112	6.8	8.1		
contig_4	97884	99380	+	ONMMKP_00131	55.9	6.5		
contig_4	105622	106941	+	ONMMKP_00139	49.0	9.5	PF01476.26|LysM, PF01551.29|Peptidase_M23, PF04225.17|LysM_OapA, PF08525.16|OapA_N, PF19425.4|Csd3_N2, PF22310.2|NMB0315_dom_I	PFAM:PF01476.26, PFAM:PF01551.29, PFAM:PF04225.17, PFAM:PF08525.16, PFAM:PF19425.4, PFAM:PF22310.2
contig_4	116488	116778	+	ONMMKP_00147	10.8	5.0		
contig_4	124088	124357	-	ONMMKP_00159	10.2	9.5		
contig_4	125685	125915	+	ONMMKP_00162	8.3	10.0		
contig_4	128278	129060	+	ONMMKP_00168	26.8	4.6		
contig_4	129195	129881	+	ONMMKP_00169	24.2	5.8	PF01661.27|Macro	PFAM:PF01661.27
contig_4	131898	132020	+	ONMMKP_00171	4.6	6.7		
contig_4	139184	139660	-	ONMMKP_00178	17.5	9.6		
contig_4	155228	155335	+	ONMMKP_00194	4.2	9.6		SO:0001217, UniRef:UniRef50_A0A455RYX3
contig_4	156342	156581	-	ONMMKP_00196	8.4	9.6		
contig_4	268219	268401	-	ONMMKP_00307	6.2	10.0		
contig_4	284123	284275	-	ONMMKP_00322	5.7	9.4		
contig_4	334375	334713	-	ONMMKP_00372	13.1	5.0		
contig_4	352091	352357	+	ONMMKP_00390	8.7	7.6	PF03891.20|DUF333	PFAM:PF03891.20
contig_4	365418	365513	+	ONMMKP_00403	3.4	5.9		SO:0001217, UniRef:UniRef50_A0A3S4GLI1
contig_4	373073	373789	+	ONMMKP_00411	27.9	9.2		
contig_4	405542	406162	-	ONMMKP_00443	23.2	5.2		
contig_4	406159	406332	-	ONMMKP_00444	6.9	10.0		
contig_4	426262	426450	+	ONMMKP_00460	6.9	4.8		
contig_4	470022	470240	-	ONMMKP_00494	7.5	6.1	PF03060.21|NMO	PFAM:PF03060.21
contig_4	471042	471425	+	ONMMKP_00495	14.5	10.8	PF13384.12|HTH_23, PF13518.12|HTH_28, PF13551.12|HTH_29	PFAM:PF13384.12, PFAM:PF13518.12, PFAM:PF13551.12
contig_4	474292	474480	+	ONMMKP_00500	7.1	4.1	PF01042.26|Ribonuc_L-PSP	PFAM:PF01042.26
contig_4	490092	490502	+	ONMMKP_00515	15.3	5.8		
contig_4	494801	495328	+	ONMMKP_00520	19.2	9.5	PF08332.16|CaMKII_AD, PF13474.12|SnoaL_3, PF13577.12|SnoaL_4, PF14534.12|DUF4440	PFAM:PF08332.16, PFAM:PF13474.12, PFAM:PF13577.12, PFAM:PF14534.12
contig_4	506317	506412	+	ONMMKP_00533	3.5	5.4		
contig_4	508182	508364	-	ONMMKP_00537	6.1	10.1		
