#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_2	11610	11954	-	ODDLKH_00015	12.8	9.7		SO:0001217, UniRef:UniRef50_A0A0T9RQT6
contig_2	11908	12045	-	ODDLKH_00016	5.4	6.1		
contig_2	55575	56030	-	ODDLKH_00056	17.7	8.9		
contig_2	58934	60049	-	ODDLKH_00060	40.0	4.9		
contig_2	60460	60582	+	ODDLKH_00062	4.2	9.2		SO:0001217, UniRef:UniRef50_B5F1L8
contig_2	60563	62110	-	ODDLKH_00063	58.2	9.3		SO:0001217, UniRef:UniRef50_A0A7H0MG07
contig_2	70083	71510	-	ODDLKH_00072	51.6	5.5	PF04984.19|Phage_sheath_1, PF17482.7|Phage_sheath_1C	PFAM:PF04984.19, PFAM:PF17482.7, SO:0001217, UniRef:UniRef50_U3U6A9
contig_2	78371	78616	+	ODDLKH_00082	7.5	5.8		
contig_2	97462	97590	+	ODDLKH_00099	5.0	8.7		
contig_2	198943	199410	+	ODDLKH_00178	17.4	10.0		
contig_2	208099	208197	+	ODDLKH_00187	3.4	8.3		
contig_2	209356	209502	+	ODDLKH_00190	5.3	5.9		
contig_2	250069	250377	+	ODDLKH_00232	11.1	7.0	PF17209.9|Hfq	PFAM:PF17209.9
contig_2	263859	265022	+	ODDLKH_00247	45.3	4.8	PF03738.19|GSP_synth	PFAM:PF03738.19
contig_2	303632	303856	-	ODDLKH_00288	8.6	6.7		
contig_2	393813	394067	+	ODDLKH_00366	9.7	9.4		
contig_2	394292	394585	+	ODDLKH_00368	11.7	11.5		SO:0001217, UniRef:UniRef50_A0A3J2F053
contig_2	395378	396079	+	ODDLKH_00370	26.7	7.7	PF13391.12|HNH_2	PFAM:PF13391.12
contig_2	396509	396616	-	ODDLKH_00371	4.1	9.7		SO:0001217, UniRef:UniRef50_A0A0J1LPK6
contig_2	403527	403895	+	ODDLKH_00379	13.6	8.1	PF03625.19|DUF302	PFAM:PF03625.19
contig_2	403892	404419	-	ODDLKH_00380	19.7	5.7	PF01738.24|DLH	PFAM:PF01738.24
contig_2	407505	407951	+	ODDLKH_00384	16.7	9.4	PF05638.18|T6SS_HCP	PFAM:PF05638.18
contig_2	419897	420061	+	ODDLKH_00395	6.8	10.8	PF06568.16|DUF1127	PFAM:PF06568.16
contig_2	429787	430089	+	ODDLKH_00404	11.4	9.5	PF14384.12|BrnA_antitoxin	PFAM:PF14384.12
contig_2	446137	446598	-	ODDLKH_00417	15.9	8.7		
contig_2	454225	454461	+	ODDLKH_00427	8.4	9.8		
contig_2	487499	487606	+	ODDLKH_00462	4.2	5.4		SO:0001217, UniRef:UniRef50_A0A2X4TXI3
contig_2	512136	512540	-	ODDLKH_00486	14.5	9.1		
contig_2	517788	518321	-	ODDLKH_00492	19.9	5.5	PF05838.17|Glyco_hydro_108, PF09374.15|PG_binding_3	PFAM:PF05838.17, PFAM:PF09374.15
contig_2	531289	531807	+	ODDLKH_00502	17.7	4.3	PF00419.26|Fimbrial	PFAM:PF00419.26
contig_2	576259	576534	-	ODDLKH_00542	10.0	5.2		
contig_2	581842	582237	+	ODDLKH_00545	15.4	9.4		
contig_2	595425	595841	+	ODDLKH_00559	15.4	8.9		
contig_2	781346	781606	-	ODDLKH_00723	9.6	4.5		
contig_2	787672	788325	-	ODDLKH_00732	23.2	9.8		
contig_2	840335	840493	+	ODDLKH_00784	6.0	9.2		
