# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	sorf	169	255	+	LNHIMF_00001		thr operon leader peptide	SO:0001217, UniRef:UniRef50_Q7CRA3
contig_1	ncRNA-region	191	311	+			Threonine operon leader	RFAM:RF00506, SO:0000140
contig_1	cds	337	2799	+	LNHIMF_00002		Bifunctional aspartokinase/homoserine dehydrogenase 1	SO:0001217, UniRef:UniRef50_P00561
contig_1	cds	2801	3730	+	LNHIMF_00003		Homoserine kinase	SO:0001217, UniRef:UniRef50_Q493S9
contig_1	cds	3734	5020	+	LNHIMF_00004		Threonine synthase	SO:0001217, UniRef:UniRef50_Q89AR5
contig_1	cds	5114	5887	-	LNHIMF_00005		UPF0246 protein GN242_17910	SO:0001217, UniRef:UniRef50_A0A6I6EGM8
contig_1	cds	5966	7396	-	LNHIMF_00006	yaaJ	Uncharacterized transporter YaaJ	SO:0001217, UniRef:UniRef50_P30143
contig_1	cds	7665	8618	+	LNHIMF_00007		transaldolase B	BlastRules:WP_000130175, SO:0001217, UniRef:UniRef50_P45055
contig_1	cds	8729	9319	+	LNHIMF_00008	mogA	Molybdenum cofactor biosynthesis protein MogA	SO:0001217, UniRef:UniRef50_A0A0A2Z689
contig_1	cds	9376	9942	-	LNHIMF_00009	yaaH	Inner membrane protein YaaH	SO:0001217, UniRef:UniRef50_A0A8S0G258
contig_1	cds	10092	10805	-	LNHIMF_00010	yaaW	UPF0174 protein YaaW	SO:0001217, UniRef:UniRef50_P58316
contig_1	cds	10841	11245	-	LNHIMF_00011		hypothetical protein	
contig_1	cds	11594	13510	+	LNHIMF_00012	dnaK	Chaperone protein DnaK	SO:0001217, UniRef:UniRef50_P43736
contig_1	ncRNA	13521	13595	+	LNHIMF_00013	tpke11	tpke11	RFAM:RF02031, SO:0000655
contig_1	cds	13596	14735	+	LNHIMF_00014	dnaJ	Chaperone protein DnaJ	SO:0001217, UniRef:UniRef50_A0A4R1HEE6
contig_1	cds	15016	15963	+	LNHIMF_00015		HTH lysR-type domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0L0AFF1
contig_1	cds	16090	16434	+	LNHIMF_00016		Phage holin family protein	SO:0001217, UniRef:UniRef50_A0A0H3FW56
contig_1	cds	16495	17028	-	LNHIMF_00017		hypothetical protein	PFAM:PF05838.17, PFAM:PF09374.15
contig_1	cds	17045	17488	-	LNHIMF_00018		Transcriptional regulator	SO:0001217, UniRef:UniRef50_Q8ZS10
contig_1	cds	17869	19968	+	LNHIMF_00019		chitinase	SO:0001217, UniRef:UniRef50_A0A0L0AFP7
contig_1	cds	20061	23057	+	LNHIMF_00020		Putative hydroxymethyltransferase	SO:0001217, UniRef:UniRef50_A0A3S4FS72
contig_1	cds	23346	24041	+	LNHIMF_00021	iprA	IprA winged helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_E3G2G5
contig_1	cds	24472	25014	+	LNHIMF_00022		Fimbrial-type adhesion domain-containing protein	SO:0001217, UniRef:UniRef50_A9MR69
contig_1	cds	25116	25802	+	LNHIMF_00023	bcfB	fimbrial biogenesis chaperone BcfB	BlastRules:WP_000742551, SO:0001217, UniRef:UniRef50_A9MR68
contig_1	cds	25807	28428	+	LNHIMF_00024	bcfC	fimbrial usher BcfC	BlastRules:WP_001245864, SO:0001217, UniRef:UniRef50_A0A5U2F4X5
contig_1	cds	28429	29436	+	LNHIMF_00025		Fimbrial-type adhesion domain-containing protein	SO:0001217, UniRef:UniRef50_A9MR66
contig_1	cds	29437	29982	+	LNHIMF_00026		Fimbrial-type adhesion domain-containing protein	SO:0001217, UniRef:UniRef50_A9MR65
contig_1	cds	29998	30516	+	LNHIMF_00027		hypothetical protein	PFAM:PF00419.26
contig_1	cds	30482	31213	+	LNHIMF_00028	bcfG	fimbrial chaperone BcfG	BlastRules:WP_001135039, SO:0001217, UniRef:UniRef50_A0A6D2GD24
contig_1	cds	31278	32123	+	LNHIMF_00029		Thioredoxin domain-containing protein	SO:0001217, UniRef:UniRef50_A0AAN3RST5
contig_1	cds	32162	32449	+	LNHIMF_00030		Type 1 fimbrial protein	SO:0001217, UniRef:UniRef50_A0A764GR16
contig_1	cds	32549	32998	-	LNHIMF_00031		OmpR/PhoB-type domain-containing protein	SO:0001217, UniRef:UniRef50_A9MR60
contig_1	cds	33368	34372	+	LNHIMF_00032		HTH lysR-type domain-containing protein	SO:0001217, UniRef:UniRef50_A9MR59
contig_1	cds	34380	34817	-	LNHIMF_00033		OmpR/PhoB-type domain-containing protein	SO:0001217, UniRef:UniRef50_A9MR58
contig_1	cds	35340	37058	+	LNHIMF_00034		Arylsulfotransferase N-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A9MR51
contig_1	cds	37104	38666	-	LNHIMF_00035		5'-Nucleotidase C-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A9MR56
contig_1	cds	38774	39535	-	LNHIMF_00036		Outer membrane/exported protein	SO:0001217, UniRef:UniRef50_A9MR55
contig_1	cds	40130	41623	+	LNHIMF_00037		Arylsulfatase	SO:0001217, UniRef:UniRef50_A0A237NMI4
contig_1	cds	41722	42912	+	LNHIMF_00038		Putative arylsulfatase regulatory protein	SO:0001217, UniRef:UniRef50_A0A084ZQX2
contig_1	cds	42937	44184	+	LNHIMF_00039		Cytoplasmic protein	SO:0001217, UniRef:UniRef50_A9MR52
contig_1	cds	44311	46026	+	LNHIMF_00040		Arylsulfotransferase N-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A9MR51
contig_1	cds	46189	47355	+	LNHIMF_00041	nhaA	Na(+)/H(+) antiporter NhaA	SO:0001217, UniRef:UniRef50_A8G9L0
contig_1	cds	47423	48316	+	LNHIMF_00042	nhaR	Transcriptional activator protein NhaR	SO:0001217, UniRef:UniRef50_P0A9G2
contig_1	cds	48371	50410	-	LNHIMF_00043		Uncharacterized family 31 glucosidase ORF2	SO:0001217, UniRef:UniRef50_Q01336
contig_1	cds	50450	51823	-	LNHIMF_00044		Major facilitator superfamily (MFS) profile domain-containing protein	SO:0001217, UniRef:UniRef50_A0A6C6YXS9
contig_1	cds	52323	52532	+	LNHIMF_00045		Lipoprotein	SO:0001217, UniRef:UniRef50_C5B7M1
contig_1	cds	52876	53814	+	LNHIMF_00046		Riboflavin biosynthesis protein	SO:0001217, UniRef:UniRef50_Q7N8X3
contig_1	cds	53859	56693	+	LNHIMF_00047		Isoleucine--tRNA ligase	SO:0001217, UniRef:UniRef50_Q8ZIM0
contig_1	cds	56693	57193	+	LNHIMF_00048		Lipoprotein signal peptidase	SO:0001217, UniRef:UniRef50_Q9KU46
contig_1	cds	57348	57797	+	LNHIMF_00049		Peptidyl-prolyl cis-trans isomerase	SO:0001217, UniRef:UniRef50_A0A376DLB2
contig_1	cds	57800	58750	+	LNHIMF_00050		4-hydroxy-3-methylbut-2-enyl diphosphate reductase	SO:0001217, UniRef:UniRef50_P62623
contig_1	ncRNA	58796	58927	+	LNHIMF_00051	STnc30	Salmonella enterica conserved region STnc30	RFAM:RF02048, SO:0000655
contig_1	cds	58950	60152	+	LNHIMF_00052		Nitrite reductase	SO:0001217, UniRef:UniRef50_M7RH86
contig_1	cds	60168	61088	+	LNHIMF_00053	rihC	Non-specific ribonucleoside hydrolase RihC	SO:0001217, UniRef:UniRef50_P22564
contig_1	cds	61110	61796	-	LNHIMF_00054	citB	Transcriptional regulatory protein CitB	SO:0001217, UniRef:UniRef50_P52688
contig_1	cds	61798	63456	-	LNHIMF_00055	citA	Sensor histidine kinase CitA	SO:0001217, UniRef:UniRef50_P52687
contig_1	cds	63552	64853	-	LNHIMF_00056		Oxaloacetate decarboxylase beta chain	SO:0001217, UniRef:UniRef50_P13156
contig_1	cds	64866	66635	-	LNHIMF_00057		Oxaloacetate decarboxylase alpha subunit	SO:0001217, UniRef:UniRef50_A0A379XLB9
contig_1	cds	66651	66890	-	LNHIMF_00058		putative oxaloacetate decarboxylase gamma chain	SO:0001217, UniRef:UniRef50_A0A379UMS0
contig_1	cds	67049	68389	-	LNHIMF_00059	citS	citrate/sodium symporter CitS	BlastRules:WP_000183602, BlastRules:WP_004151375, SO:0001217, UniRef:UniRef50_P31602
contig_1	cds	68634	69677	+	LNHIMF_00060		[citrate (Pro-3S)-lyase] ligase	SO:0001217, UniRef:UniRef50_A0A379WFG3
contig_1	cds	69707	70000	+	LNHIMF_00061		Citrate lyase acyl carrier protein	SO:0001217, UniRef:UniRef50_B7LVP5
contig_1	cds	69997	70866	+	LNHIMF_00062		Citrate lyase subunit beta	SO:0001217, UniRef:UniRef50_P17725
contig_1	cds	70877	72397	+	LNHIMF_00063		Citrate lyase alpha chain	SO:0001217, UniRef:UniRef50_P75726
contig_1	cds	72397	72948	+	LNHIMF_00064		Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase	SO:0001217, UniRef:UniRef50_B7LWL8
contig_1	cds	72926	73834	+	LNHIMF_00065		2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase	SO:0001217, UniRef:UniRef50_B7LWM0
contig_1	cds	74014	74835	+	LNHIMF_00066		4-hydroxy-tetrahydrodipicolinate reductase	SO:0001217, UniRef:UniRef50_Q2NVY2
contig_1	ncRNA-region	74841	74918	+			ABC transporter regulator	RFAM:RF02551, SO:0005836
contig_1	cds	74962	75126	-	LNHIMF_00067		Viral protein	SO:0001217, UniRef:UniRef50_A0A757XJ93
contig_1	cds	75873	77021	+	LNHIMF_00068		Carbamoyl phosphate synthase small chain	SO:0001217, UniRef:UniRef50_P0A6F1
contig_1	cds	77040	80267	+	LNHIMF_00069		Carbamoyl phosphate synthase large chain	SO:0001217, UniRef:UniRef50_P00968
contig_1	cds	80541	80936	+	LNHIMF_00070		hypothetical protein	
contig_1	cds	81013	81609	-	LNHIMF_00071	caiE	Carnitine operon protein CaiE	SO:0001217, UniRef:UniRef50_A0A376W173
contig_1	cds	81719	82504	-	LNHIMF_00072		Carnitinyl-CoA dehydratase	SO:0001217, UniRef:UniRef50_P31551
contig_1	cds	82558	84111	-	LNHIMF_00073		Crotonobetaine/carnitine--CoA ligase	SO:0001217, UniRef:UniRef50_P31552
contig_1	cds	84174	85391	-	LNHIMF_00074		L-carnitine CoA-transferase	SO:0001217, UniRef:UniRef50_P31572
contig_1	cds	85503	86645	-	LNHIMF_00075		Crotonobetainyl-CoA reductase	SO:0001217, UniRef:UniRef50_P60584
contig_1	cds	86680	88197	-	LNHIMF_00076		L-carnitine/gamma-butyrobetaine antiporter	SO:0001217, UniRef:UniRef50_P31553
contig_1	cds	88678	89448	+	LNHIMF_00077	fixA	Protein FixA	SO:0001217, UniRef:UniRef50_A0A2X4TIQ2
contig_1	cds	89464	90405	+	LNHIMF_00078	fixB	Protein FixB	SO:0001217, UniRef:UniRef50_P31574
contig_1	cds	90455	91741	+	LNHIMF_00079	fixC	Protein FixC	SO:0001217, UniRef:UniRef50_A0A6A8QPB3
contig_1	cds	91738	92025	+	LNHIMF_00080		Ferredoxin-like protein	SO:0001217, UniRef:UniRef50_A0A120M097
contig_1	ncRNA	92050	92132	-	LNHIMF_00081	naRNA4	Nucleoid-associated noncoding RNA 4 (CssrE)	RFAM:RF02564, SO:0000655
contig_1	cds	92172	93512	+	LNHIMF_00082	yaaU	Putative metabolite transport protein YaaU	SO:0001217, UniRef:UniRef50_P31679
contig_1	cds	93601	93831	+	LNHIMF_00083		Lipoprotein	SO:0001217, UniRef:UniRef50_A0A0J8YCG2
contig_1	cds	94125	94547	+	LNHIMF_00084		hypothetical protein	
contig_1	ncRNA	94548	94770	+	LNHIMF_00085	STnc470	Salmonella enterica sRNA STnc470	RFAM:RF02050, SO:0000655
contig_1	cds	94771	95061	-	LNHIMF_00086		YdgH/BhsA/McbA-like domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0H3GT82
contig_1	cds	95959	97848	+	LNHIMF_00087		Choline-sulfatase	SO:0001217, UniRef:UniRef50_A0A5E4TG07
contig_1	cds	98402	98932	+	LNHIMF_00088	kefF	Glutathione-regulated potassium-efflux system ancillary protein KefF	SO:0001217, UniRef:UniRef50_Q8ZRW3
contig_1	cds	98925	100787	+	LNHIMF_00089	kefC	Glutathione-regulated potassium-efflux system protein KefC	SO:0001217, UniRef:UniRef50_P03819
contig_1	cds	100986	101465	+	LNHIMF_00090		Dihydrofolate reductase	SO:0001217, UniRef:UniRef50_Q6D0D5
contig_1	cds	101573	102421	-	LNHIMF_00091		Bis(5'-nucleosyl)-tetraphosphatase, symmetrical	SO:0001217, UniRef:UniRef50_C4L9L6
contig_1	cds	102432	102809	-	LNHIMF_00092	apaG	Protein ApaG	SO:0001217, UniRef:UniRef50_Q56017
contig_1	cds	102812	103633	-	LNHIMF_00093		Ribosomal RNA small subunit methyltransferase A	SO:0001217, UniRef:UniRef50_P06992
contig_1	cds	103630	104619	-	LNHIMF_00094		4-hydroxythreonine-4-phosphate dehydrogenase	SO:0001217, UniRef:UniRef50_P58719
contig_1	cds	104619	105905	-	LNHIMF_00095	surA	Chaperone SurA	SO:0001217, UniRef:UniRef50_P0ABZ6
contig_1	cds	105959	108313	-	LNHIMF_00096	lptD	LPS-assembly protein LptD	SO:0001217, UniRef:UniRef50_B4F2H9
contig_1	cds	108567	109379	+	LNHIMF_00097	djlA	Co-chaperone protein DjlA	SO:0001217, UniRef:UniRef50_Q74Q30
contig_1	cds	109474	110133	-	LNHIMF_00098	rluA	Dual-specificity RNA pseudouridine synthase RluA	SO:0001217, UniRef:UniRef50_P0AA37
contig_1	cds	110145	113051	-	LNHIMF_00099	rapA	RNA polymerase-associated protein RapA	SO:0001217, UniRef:UniRef50_P60240
contig_1	cds	113225	115576	-	LNHIMF_00100		DNA polymerase II	SO:0001217, UniRef:UniRef50_P21189
contig_1	cds	115620	116240	-	LNHIMF_00101		DUF218 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A6C6YWV0
contig_1	cds	116758	117177	+	LNHIMF_00102		DUF4751 domain-containing protein	SO:0001217, UniRef:UniRef50_S5NAE8
contig_1	cds	117183	117878	-	LNHIMF_00103	araD	L-ribulose-5-phosphate 4-epimerase AraD	SO:0001217, UniRef:UniRef50_P08203
contig_1	cds	118019	119521	-	LNHIMF_00104		L-arabinose isomerase	SO:0001217, UniRef:UniRef50_P08202
contig_1	cds	119532	121241	-	LNHIMF_00105		Ribulokinase	SO:0001217, UniRef:UniRef50_A0A4P0XR93
contig_1	cds	121582	122427	+	LNHIMF_00106		Arabinose operon regulatory protein	SO:0001217, UniRef:UniRef50_A0A090V0Z5
contig_1	cds	122546	123313	+	LNHIMF_00107	yabI	DedA family inner membrane protein YabI	SO:0001217, UniRef:UniRef50_A0A377TMN9
contig_1	cds	123352	124059	-	LNHIMF_00108		Thiamine ABC transporter ATP-binding protein	SO:0001217, UniRef:UniRef50_A0A925TCM8
contig_1	cds	124043	125653	-	LNHIMF_00109	thiP	Thiamine transport system permease protein ThiP	SO:0001217, UniRef:UniRef50_A0A8I1W5K3
contig_1	cds	125629	126612	-	LNHIMF_00110		Thiamine-binding periplasmic protein	SO:0001217, UniRef:UniRef50_A0A0U5LKV3
contig_1	ncRNA-region	126644	126743	-			TPP riboswitch aptamer (THI element)	RFAM:RF00059, SO:0000035
contig_1	cds	126790	128448	-	LNHIMF_00111		Putative substrate-binding protein	SO:0001217, UniRef:UniRef50_A0A377KCN3
contig_1	ncRNA	128516	128754	+	LNHIMF_00112	sgrS	SgrS RNA	RFAM:RF00534, SO:0000655
contig_1	cds	128541	128663	+	LNHIMF_00113	sgrT	Inhibitor of glucose uptake transporter SgrT	SO:0001217, UniRef:UniRef50_A0A0J1LLN9
contig_1	cds	128949	129554	-	LNHIMF_00114		3-isopropylmalate dehydratase small subunit	SO:0001217, UniRef:UniRef50_Q9PLW2
contig_1	cds	129565	130965	-	LNHIMF_00115		3-isopropylmalate dehydratase large subunit	SO:0001217, UniRef:UniRef50_P0A6A6
contig_1	cds	130968	132059	-	LNHIMF_00116		3-isopropylmalate dehydrogenase	SO:0001217, UniRef:UniRef50_P56933
contig_1	cds	132059	133630	-	LNHIMF_00117		2-isopropylmalate synthase	SO:0001217, UniRef:UniRef50_P15875
contig_1	ncRNA-region	133671	133819	-			Leucine operon leader	RFAM:RF00512, SO:0000140
contig_1	sorf	133719	133805	-	LNHIMF_00118		leu operon leader peptide	SO:0001217, UniRef:UniRef50_P03062
contig_1	cds	134462	135406	+	LNHIMF_00119	leuO	putative HTH-type transcriptional regulator LeuO	SO:0001217, UniRef:UniRef50_P46924
contig_1	cds	135728	137452	+	LNHIMF_00120		Acetolactate synthase isozyme 3 large subunit	SO:0001217, UniRef:UniRef50_P00893
contig_1	cds	137452	137961	+	LNHIMF_00121		Acetolactate synthase isozyme 3 small subunit	SO:0001217, UniRef:UniRef50_P00894
contig_1	cds	138228	139232	+	LNHIMF_00122		Catabolite repressor/activator	SO:0001217, UniRef:UniRef50_A1JJI2
contig_1	cds	139839	140297	+	LNHIMF_00123	mraZ	Transcriptional regulator MraZ	SO:0001217, UniRef:UniRef50_C5B9E7
