# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_3	cds	147	611	-	IKCLMC_00001	-	-	-	-	-	-
contig_4	ncRNA	119	263	-	IKCLMC_00002	179.2	1.9e-27	-	-	-	RFAM:RF00101
contig_4	ncRNA	160	259	+	IKCLMC_00003	116.2	9.9e-19	-	-	-	RFAM:RF00111
contig_5	cds	43	588	+	IKCLMC_00004	-	-	-	-	-	-
contig_7	cds	51	305	+	IKCLMC_00005	105.0	7.9e-30	0.952	0.988	0.700	UniRef:UniRef50_A0A139DFB7
contig_7	tRNA	493	568	+	IKCLMC_00006	66.6	-	-	-	-	-
contig_8	cds	139	525	-	IKCLMC_00007	-	-	-	-	-	-
contig_9	cds	141	494	+	IKCLMC_00008	208.0	3.4e-69	1.0	0.929	0.897	UniRef:UniRef50_P0AB52
contig_11	ncRNA-region	207	634	-	-	436.2	3.0e-47	-	-	-	RFAM:RF01766
contig_11	cds	258	470	-	IKCLMC_00009	118.0	4.6e-35	1.0	0.824	0.771	UniRef:UniRef50_A7ME79
contig_12	cds	49	204	+	IKCLMC_00010	-	-	-	-	-	-
contig_13	cds	403	645	+	IKCLMC_00011	-	-	-	-	-	-
contig_14	ncRNA-region	376	745	-	-	363.4	1.4e-39	-	-	-	RFAM:RF01766
contig_14	cds	427	639	-	IKCLMC_00012	118.0	4.6e-35	1.0	0.824	0.771	UniRef:UniRef50_A7ME79
contig_16	cds	282	437	+	IKCLMC_00013	-	-	-	-	-	-
contig_17	cds	64	747	+	IKCLMC_00014	-	-	-	-	-	-
contig_20	cds	76	339	-	IKCLMC_00015	197.0	3.7e-66	1.0	1.0	1.0	UniRef:UniRef50_A0A5V8FPP4
contig_20	ncRNA	232	296	+	IKCLMC_00016	70.1	8.0e-14	-	-	-	RFAM:RF01813
contig_20	cds	621	776	-	IKCLMC_00017	-	-	-	-	-	-
contig_22	cds	130	558	-	IKCLMC_00018	-	-	-	-	-	-
contig_22	cds	563	880	-	IKCLMC_00019	-	-	-	-	-	-
contig_23	ncRNA	62	262	-	IKCLMC_00020	238.5	1.1e-38	-	-	-	RFAM:RF01397
contig_23	cds	309	803	+	IKCLMC_00021	165.0	6.0e-51	0.872	0.923	0.671	UniRef:UniRef50_A0A919I2N2
contig_25	cds	17	514	+	IKCLMC_00022	205.0	5.8e-67	1.0	1.100	0.661	UniRef:UniRef50_A0AAX2K897
contig_25	cds	490	747	-	IKCLMC_00023	128.0	1.3e-38	1.0	0.895	0.694	UniRef:UniRef50_A0A8E1RUV6
contig_26	cds	201	767	-	IKCLMC_00024	205.0	1.2e-65	0.984	0.898	0.562	UniRef:UniRef50_A0A447U4F4
contig_27	tRNA	442	517	+	IKCLMC_00025	75.0	-	-	-	-	-
contig_29	cds	78	239	+	IKCLMC_00026	-	-	-	-	-	-
contig_29	cds	215	769	-	IKCLMC_00027	232.0	3.8e-77	1.0	1.227	0.663	UniRef:UniRef50_A0AAX2K897
contig_32	cds	227	721	+	IKCLMC_00028	294.0	9.0e-102	1.0	0.927	0.915	UniRef:UniRef50_A0A403QQ77
contig_33	ncRNA	89	185	+	IKCLMC_00029	112.4	1.9e-18	-	-	-	RFAM:RF01392
contig_33	cds	335	553	+	IKCLMC_00030	144.0	2.8e-45	1.0	0.867	1.0	UniRef:UniRef50_A0A5U3I4D7
contig_33	cds	565	1104	-	IKCLMC_00031	364.0	3.2e-129	1.0	1.0	1.0	UniRef:UniRef50_A0A0F6B0A9
contig_35	cds	11	328	+	IKCLMC_00032	-	-	-	-	-	-
contig_35	cds	499	1182	+	IKCLMC_00033	285.0	5.0e-96	0.952	0.919	0.639	UniRef:UniRef50_M2TLD0
contig_38	cds	179	1666	+	IKCLMC_00034	791.0	1.3e-286	0.954	0.872	0.835	UniRef:UniRef50_A0A486S2R5
contig_39	cds	128	1156	+	IKCLMC_00035	449.0	8.5e-157	0.991	0.887	0.619	UniRef:UniRef50_Q6DAP0
contig_39	cds	1153	2115	+	IKCLMC_00036	556.0	1.1e-199	0.997	0.889	0.868	UniRef:UniRef50_P06709
contig_39	cds	2150	3076	-	IKCLMC_00037	433.0	3.5e-151	0.997	0.810	0.668	UniRef:UniRef50_P54556
contig_39	tRNA	3502	3577	+	IKCLMC_00038	81.3	-	-	-	-	-
contig_39	tRNA	3586	3670	+	IKCLMC_00039	73.0	-	-	-	-	-
contig_39	tRNA	3787	3861	+	IKCLMC_00040	70.6	-	-	-	-	-
contig_40	cds	152	676	+	IKCLMC_00041	-	-	-	-	-	-
contig_40	ncRNA	961	1089	+	IKCLMC_00042	111.4	3.0e-16	-	-	-	RFAM:RF02957
contig_40	cds	1151	1849	+	IKCLMC_00043	462.0	4.7e-166	1.0	0.963	0.996	UniRef:UniRef50_A0A8D5C0H2
contig_40	cds	2192	4360	+	IKCLMC_00044	468.0	9.6e-153	1.0	0.895	0.533	UniRef:UniRef50_A0A0T9QR00
contig_40	cds	4417	6147	+	IKCLMC_00045	1116.0	0.0	1.007	1.0	0.984	UniRef:UniRef50_A0A0R9PUQ5
contig_40	cds	6357	6530	+	IKCLMC_00046	-	-	-	-	-	-
contig_40	cds	7052	8506	-	IKCLMC_00047	573.0	1.4e-201	0.986	0.939	0.629	UniRef:UniRef50_N9WHX3
contig_41	cds	280	795	+	IKCLMC_00048	-	-	-	-	-	-
contig_41	cds	745	990	-	IKCLMC_00049	106.0	3.7e-30	0.963	0.940	0.769	UniRef:UniRef50_A0A8I0Q898
contig_41	cds	1040	2308	-	IKCLMC_00050	605.0	2.2e-216	1.005	1.0	0.757	UniRef:UniRef50_F4XG31
contig_41	cds	2588	3514	+	IKCLMC_00051	381.0	4.0e-131	0.994	0.903	0.608	UniRef:UniRef50_A0A3S4X5U9
contig_41	cds	3515	4405	-	IKCLMC_00052	488.0	9.6e-174	0.997	0.922	0.800	UniRef:UniRef50_Q8ZQS9
contig_41	cds	4535	5380	+	IKCLMC_00053	578.0	4.3e-210	1.0	0.959	1.0	UniRef:UniRef50_Q8ZQT0
contig_41	cds	5395	5940	+	IKCLMC_00054	254.0	2.1e-85	0.983	0.973	0.691	UniRef:UniRef50_Q8ZQT1
contig_41	cds	6034	7086	-	IKCLMC_00055	671.0	8.7e-247	1.0	1.0	0.949	BlastRules:WP_001109196
contig_41	cds	7406	7792	+	IKCLMC_00056	-	-	-	-	-	-
contig_41	cds	7903	8841	+	IKCLMC_00057	417.0	9.5e-146	0.974	0.944	0.697	UniRef:UniRef50_Q8ZGY6
contig_41	cds	8838	9557	-	IKCLMC_00058	459.0	3.5e-164	1.0	0.842	0.996	UniRef:UniRef50_P24520
contig_41	cds	9582	10625	-	IKCLMC_00059	385.0	5.5e-132	0.931	0.923	0.604	UniRef:UniRef50_A0A8J7KBT6
contig_41	ncRNA-region	10920	11045	-	-	52.7	5.1e-07	-	-	-	RFAM:RF00391
contig_41	ncRNA-region	11075	11200	-	-	48.5	2.6e-06	-	-	-	RFAM:RF00391
contig_41	ncRNA-region	11230	11355	-	-	45.0	1.0e-05	-	-	-	RFAM:RF00391
contig_41	tRNA	11385	11460	-	IKCLMC_00060	94.9	-	-	-	-	-
contig_41	tRNA	11595	11670	-	IKCLMC_00061	94.9	-	-	-	-	-
contig_41	tRNA	11810	11885	-	IKCLMC_00062	94.9	-	-	-	-	-
contig_41	tRNA	11889	11948	-	IKCLMC_00063	30.0	-	-	-	-	-
contig_42	cds	152	697	+	IKCLMC_00064	236.0	2.3e-78	0.978	0.957	0.678	UniRef:UniRef50_B6XBA8
contig_42	cds	669	2600	+	IKCLMC_00065	1132.0	0.0	0.998	0.998	0.841	UniRef:UniRef50_O64317
contig_42	cds	2584	2787	+	IKCLMC_00066	67.8	4.1e-15	1.0	0.893	0.522	UniRef:UniRef50_P68655
contig_42	cds	2745	4364	+	IKCLMC_00067	711.0	9.1e-255	0.959	0.981	0.673	UniRef:UniRef50_A0A1V2GIE8
contig_42	cds	4354	5850	+	IKCLMC_00068	549.0	2.8e-191	1.078	0.989	0.696	UniRef:UniRef50_A0A8B4V0G0
contig_42	cds	5863	6210	+	IKCLMC_00069	163.0	1.7e-51	0.991	0.870	0.719	UniRef:UniRef50_P36275
contig_42	cds	6265	7293	+	IKCLMC_00070	394.0	1.5e-134	0.988	0.809	0.595	UniRef:UniRef50_P03713
contig_42	cds	7351	7710	+	IKCLMC_00071	102.0	2.8e-27	1.092	1.0	0.508	UniRef:UniRef50_A0A5I2X0D2
contig_42	cds	7721	8104	+	IKCLMC_00072	253.0	1.3e-86	1.0	0.948	1.0	UniRef:UniRef50_Q8ZN00
contig_42	cds	8132	8710	+	IKCLMC_00073	277.0	5.5e-94	0.990	0.876	0.753	UniRef:UniRef50_O64325
contig_42	cds	8759	9889	-	IKCLMC_00074	738.0	2.3e-269	1.0	0.864	0.973	UniRef:UniRef50_A0A7Y3X8J4
